Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_18,,,dim_detail_s_r0_5,,0.5,R,None,mm,0.5,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_19,,,dim_detail_s_45deg,,45°,None,None,deg,45.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_20,,,dim_enlarged_view_chamfer,,0.4X45° BOTH FLANKS,None,None,mm,0.4,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,features_Item_2,,,,,,,,,,,dim_hub_dia; dim_hub_dia_inner,,,feat_hub,dim_hub_height; dim_hub_extension_right; dim_face_width,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,features_Item_3,,,,,,,,,,,dim_bore,,H7,feat_bore_main,dim_overall_axial_length,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,features_Item_4,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,General,,,,,,,,,,,,,,,,,,,,P1001046A,SN430/ 40Cr4,BULL GEAR,None,,,,,,JPEG,566,452800,800,516,1982,2498,3155,gemini_api_with_estimation_fallback,5653,mm,,,
