Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
9,"{'primary': {'value': '38.3', 'unit': 'mm', 'tolerance': '+0.2'}}",Keyway depth from opposite side of bore,keyway,"Right front view, central bore",1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
10,"{'primary': {'value': '141.62', 'unit': 'mm', 'tolerance': None}}",Outer tooth profile radius,radius,Right front view,1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
11,"{'primary': {'value': '18.97', 'unit': 'mm', 'tolerance': None}}",Inner tooth fillet radius,radius,Right front view,1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
12,"{'primary': {'value': '38.1', 'unit': 'mm', 'tolerance': None}}",Tooth width (chordal),dimension,"Right front view, across tooth tips",1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
13,"{'primary': {'value': '8.21', 'unit': 'mm', 'tolerance': None}}",Tooth tip width,dimension,"Right front view, at tooth tip",1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
14,"{'primary': {'value': '23', 'unit': 'mm', 'tolerance': None}}",Circular feature on tooth profile,circular feature,"Right front view, on tooth profile",1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,"{'linear': {'0.5_to_6_mm': '±0.1 mm', '3_to_30_mm': '±0.2 mm', '30_to_120_mm': '±0.3 mm', '120_to_400_mm': '±0.5 mm', '400_to_1000_mm': '±0.8 mm', '1000_to_2000_mm': '±1.2 mm', '2000_to_4000_mm': '±2 mm'}, 'angular': None, 'standard_reference': 'ALL DIMENSIONS AER IN MM'}","[{'feature': 'Outer flange width', 'tolerance': '±0.1', 'type': 'bilateral'}, {'feature': 'Inner groove width', 'tolerance': '+0.1/-0.2', 'type': 'unilateral'}, {'feature': 'Central bore diameter', 'tolerance': 'H7', 'type': 'fit'}, {'feature': 'Keyway width', 'tolerance': 'Js9', 'type': 'fit'}, {'feature': 'Keyway depth from opposite side of bore', 'tolerance': '+0.2', 'type': 'unilateral'}]"
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,General surfaces,Rough Cut,,,Δ (Rough Cut),,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,2,,General surfaces,Clean Mill/Turn,,,∇ (Clean Mill/Turn),,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,3,,General surfaces,Grind,,,∇∇ (Grind),,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,4,,General surfaces,Lapp-ing,,,∇∇∇ (Lapp-ing),,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,"Through the center of the sprocket, along the axis","[{'feature': 'Overall length', 'value': '50', 'unit': 'mm', 'tolerance': None}, {'feature': 'Outer flange width', 'value': '7.5', 'unit': 'mm', 'tolerance': '±0.1'}, {'feature': 'Inner groove width', 'value': '16', 'unit': 'mm', 'tolerance': '+0.1/-0.2'}, {'feature': 'Outer diameter', 'value': '137', 'unit': 'mm', 'tolerance': None}, {'feature': 'Intermediate diameter', 'value': '108', 'unit': 'mm', 'tolerance': None}, {'feature': 'Intermediate diameter', 'value': '83', 'unit': 'mm', 'tolerance': None}, {'feature': 'Smallest shoulder diameter', 'value': '60', 'unit': 'mm', 'tolerance': None}, {'feature': 'Central bore diameter', 'value': '35', 'unit': 'mm', 'tolerance': 'H7'}]",,,full section,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,1,Sprocket and Insert,"Bottom left, general notes",INSERT HAS TO BE PRESS FITTED IN TO SPROCKET,assembly instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,2,All drilled and tapped holes (if any),"Bottom left, general notes",ALL DRILLED & TAPED HOLES CENTER DISTANCES TO BE MAINTENED WITHIN ±0.2,machining/inspection requirement,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,3,All unspecified edges requiring chamfer,"Bottom left, general notes",UNSPCIFIED CHAMFER 0.5*45°,design specification,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,4,All edges,"Bottom left, general notes",REMOVE ALL SHARP EDGES,manufacturing instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,5,Overall project/assembly,Top right,Qty. For One Assembly=2 No's. Total No of Assemblys=2 No's Total Qty. =4 No's,quantity/assembly information,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,6,The drawing itself,Title block,DO NOT REVISE MANUALLY - DO NOT TAKE REPRODUCIBLE,drawing control,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['S.NO', 'DESCRIPTION', 'MATL.']","[{'S.NO': '1', 'DESCRIPTION': 'SPROCKET', 'MATL.': 'P.P./DERLINE'}, {'S.NO': '2', 'DESCRIPTION': 'INSERT', 'MATL.': 'M.S.'}]",,Bill of Materials,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,2,[],"[{'parameter': 'NO OF TEETH', 'value': '10'}, {'parameter': 'P.C.D.', 'value': '⌀123.3'}, {'parameter': 'O.D.', 'value': '⌀137'}]",SPROKET DATA,Sprocket Data,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,3,"['0.5 TO 6', '3 TO 30', '30 TO 120', '120 TO 400', '400 TO 1000', '1000 TO 2000', '2000 TO 4000']","[{'0.5 TO 6': '±0.1', '3 TO 30': '±0.2', '30 TO 120': '±0.3', '120 TO 400': '±0.5', '400 TO 1000': '±0.8', '1000 TO 2000': '±1.2', '2000 TO 4000': '±2'}]",PERMISSIBLE DEVIATIONS FOR LINEAR DIMENSIONS,Permissible Deviations for Linear Dimensions,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,"{'Sprocket': 'P.P./DERLINE (unclear_text)', 'Insert': 'M.S. (Mild Steel)'}",,"General machining symbols provided (Rough Cut, Clean Mill/Turn, Grind, Lapp-ing)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['⌀35H7 (Bore diameter)', '8Js9 (Keyway width)', '38.3+0.2 (Keyway depth)', 'P.C.D. ⌀123.3', '16+0.1/-0.2 (Inner groove width)']",['INSERT HAS TO BE PRESS FITTED IN TO SPROCKET'],['ALL DRILLED & TAPED HOLES CENTER DISTANCES TO BE MAINTENED WITHIN ±0.2'],Quality_Requirements,,,,,,,,,,,,,,,,,,,,
