Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_pattern_count,features_pattern_diameter_dim_ids,features_pattern_type,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF SPLINE PITCH CYLINDER,,,mm,0.1,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF GEAR PITCH CYLINDER,,,mm,0.1,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES A & B,,,mm,0.1,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES C & D,,,mm,0.5 MAX.,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i""",,,mm,0.09,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i""",,,mm,0.04,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE DOUBLE FLANK TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,,,mm,0.028,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION f_f,,,mm,0.028,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO,,,None,53-58 HRC,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T TOOTH.,,,None,None,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO,,,None,170-210 BHN,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,,,None,5-8 ASTM,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO,,,None,1,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,,,None,B-B,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,,,None,MIDDLE OF TOOTH,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,,,None,45-50 RC,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,,,None,X = 1.4 - 7.0 (ABOVE ROOT DIA),,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,,,None,DIG-2,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO,,,None,2,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,,,None,A-A & C-C,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,,,None,MIDDLE OF TOOTH,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,,,None,45-50 RC,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,,,None,Y1 = 1.5 - 5.6 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,,,None,DIG-3,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO,,,None,3,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,,,None,B-B,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,,,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,,,None,50-55 OHV,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,,,None,Y = 0.8 - 6.6 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,,,None,DIG-2,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO,,,None,4,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_20,,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,,,None,A-A & C-C,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_21,,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,,,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_22,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,,,None,50-55 OHV,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_23,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,,,None,Y = 1.3 - 7.1 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_24,,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,,,None,DIG-3,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_section_hardness_case_depth,None,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,,⌀282,⌀,None,mm,282,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia_outer,,⌀82,⌀,None,mm,82,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_hub_dia_middle,,⌀78,⌀,None,mm,78,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_dia_inner,,⌀60 +0.3 -0,⌀,+0.3 -0,mm,60,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_face_width,,54 ±0.2,None,±0.2,mm,54,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_hub_height_1,,14 +2 -1,None,+2 -1,mm,14,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_7,,,dim_hub_height_2,,2 (REF),None,(REF),mm,2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_8,,,dim_bore,,⌀55 -0 +0.19,⌀,-0 +0.19,mm,55,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_9,,,dim_spline_major_dia,,60X55X22 SPLINES,⌀,None,mm,60,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_10,,,dim_pcd_319,,⌀319 P.C.D,⌀,None,mm,319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_11,,,dim_pcd_332,,⌀332 ±0.1,⌀,±0.1,mm,332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_12,,,dim_pcd_307,,⌀307.67,⌀,None,mm,307.67,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_13,,,dim_pcd_180,,⌀180 PCD,⌀,None,mm,180,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_14,,,dim_pcd_66,,66 P.C.D.,None,None,mm,66,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_15,,,dim_hole_dia_30,,⌀30-4 HOLES EQUISPACED,⌀,None,mm,30,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_16,,,dim_hole_dia_5_2,,⌀5.2-HOLES,⌀,None,mm,5.2,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_17,,,dim_chamfer_1x45,,1 X 45°,None,None,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_18,,,dim_chamfer_2x45,,2 X 45° BOTH SIDES,None,None,mm,2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_19,,,dim_axial_step_0_5,,0.5,None,None,mm,0.5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_20,,,dim_axial_step_45,,45 +0 -1,None,+0 -1,mm,45,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_21,,,dim_crowning_height,,0.02 +0.02 +0.005,None,+0.02 +0.005,mm,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,,,,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_dia_outer,,,feat_hub_outer,,,,,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_hub_dia_middle,,,feat_hub_middle,,,,,,hub_middle,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,dim_hub_dia_inner,,,feat_hub_inner,dim_hub_height_1,,,,,hub_inner,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,features_Item_5,,,,,,,,,,,dim_hub_dia_inner,,,feat_hub_extension_2ref,dim_hub_height_2,,,,,hub_extension,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,features_Item_6,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,features_Item_7,,,,,,,,,,,dim_spline_major_dia; dim_bore,,,feat_spline,,,,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,features_Item_8,,,,,,,,,,,dim_hole_dia_30,,,feat_holes_4x30,,,4,dim_pcd_180,circular,mounting_holes,,through_hole_pattern,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,features_Item_9,,,,,,,,,,,dim_hole_dia_5_2,,,feat_holes_2x5_2,,,2,dim_pcd_66,circular,mounting_holes,,through_hole_pattern,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub_outer,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_hub_middle,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_hub_inner,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_5,feat_hub_extension_2ref,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_6,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_7,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_8,feat_holes_4x30,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_9,feat_holes_2x5_2,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,,,PNG,6615,61883325,9355,774,2011,2785,5310,gemini_api_with_estimation_fallback,8095,mm,,,
