Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_cells_value_CASE DEPTH,tables_cells_value_DESCRIPTION,tables_cells_value_HARDNESS,tables_cells_value_REF DIAGRAM,tables_cells_value_S.NO.,tables_cells_value_SECTION,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,±0.112,mm,195.75,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,TYPE,,None,INVOLUTE,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,,None,22,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,mm,2.5,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,°,30,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,+0.158/+0.093,mm,50.552,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,mm,4.5,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF SPLINE PITCH CYLINDER,,mm,0.1,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF GEAR PITCH CYLINDER,,mm,0.1,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,AXIAL RUNOUT OF FACES A & B,,mm,0.1,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,AXIAL RUNOUT OF FACES C & D,,mm,0.5 MAX.,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i""",,mm,0.09,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i""",,mm,0.04,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,,mm,0.028,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE PROFILE FORM DEVIATION f_f,,mm,0.028,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,Row 1,,None,,X = 1.4 - 7.0 (ABOVE ROOT DIA),MIDDLE OF TOOTH,45-50 RC,DIG-2,1,B-B,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,Row 2,,None,,Y1 = 1.5 - 5.6 (BELOW ROOT DIA),MIDDLE OF TOOTH,45-50 RC,DIG-3,2,A-A & C-C,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,Row 3,,None,,Y = 0.8 - 6.6 (BELOW ROOT DIA),MIDDLE OF TOOTH SPACE,50-55 RC/OHV,DIG-2,3,B-B,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,Row 4,,None,,Y = 1.3 - 7.1 (BELOW ROOT DIA),MIDDLE OF TOOTH SPACE,50-55 RC/OHV,DIG-3,4,A-A & C-C,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_hardness_data,None,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,outermost tip of gear teeth (top); outermost tip of gear teeth (bottom),⌀332 ±0.1,⌀,±0.1,mm,332.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,outer diameter of left hub extension; outer diameter of right hub extension,⌀82,⌀,None,mm,82.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,left face of main gear body; right face of main gear body,54 ±0.2,None,±0.2,mm,54.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,right hub shoulder; right hub end,45 +0/-1,None,+0/-1,mm,45.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,top edge of bore; bottom edge of bore,⌀55 -0/-0.1,⌀,-0/-0.1,mm,55.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd1dd22c-9b4b-454a-ad0e-4563bcd2b94e_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,,,,,,,,PNG,6615,61883325,9355,774,3424,4198,2747,gemini_api_with_estimation_fallback,6945,mm,,,
