Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,"50.552 +0.158
-0.093",,"+0.158
-0.093",mm,50.552,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,4.5,,,mm,4.5,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF SPLINE PITCH CYLINDER,0.100,,,mm,0.1,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF GEAR PITCH CYLINDER,0.100,,,mm,0.1,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,AXIAL RUNOUT OF FACES A & B,0.100,,,mm,0.1,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,AXIAL RUNOUT OF FACES C & D,0.5 MAX.,,,mm,0.5,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i'',0.090,,,mm,0.09,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i'',0.040,,,mm,0.04,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,0.028,,,mm,0.028,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION f_f,0.028,,,mm,0.028,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,TEETH TO BE INDUCTION HARDENED & TEMPERED TO,53-58 HRC,,,None,53-58 HRC,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T. TOOTH.,INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T. TOOTH.,,,None,None,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO,170-210 BHN,,,None,170-210 BHN,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,5-8 ASTM,,,None,5-8 ASTM,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,outermost tips of gear teeth,⌀332 ±0.1,⌀,±0.1,mm,332.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,outer surface of the left hub extension,⌀82,⌀,None,mm,82.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,full axial length of the main gear body,54 ±0.2,None,±0.2,mm,54.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,axial length of the right hub extension,"45 +0
-1",None,"+0
-1",mm,45.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,minor diameter of the spline bore,"⌀55 -0
+0.19",⌀,"-0
+0.19",mm,55.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,,,,PNG,6615,61883325,9355,774,3424,4198,2556,gemini_api_with_estimation_fallback,6754,mm,,,
