Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES C & D,,MAX.,mm,0.5,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i""",,,None,0.09,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i""",,,None,0.04,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,,,None,0.028,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE PROFILE FORM DEVIATION f_f,,,None,0.028,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO,,,None,53-58 HRC,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T. TOOTH.,,,None,None,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO,,,None,170-210 BHN,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,,,None,5-8 ASTM,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,,⌀282,⌀,None,mm,282,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,,⌀82,⌀,None,mm,82,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,,54 ±0.2,None,±0.2,mm,54,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,,45 +0 -1,None,+0 -1,mm,45,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,,⌀55 -0,⌀,-0,mm,55,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_hub_inner_step_dia,,⌀78,⌀,None,mm,78,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_7,,,dim_spline_major_dia,,⌀60 +0.3 -0,⌀,+0.3 -0,mm,60,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_8,,,dim_pitch_circle_dia,,⌀319 P.C.D,⌀,None,mm,319,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_9,,,dim_root_dia,,⌀307.67,⌀,None,mm,307.67,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_10,,,dim_overall_max_dia,,⌀332 ±0.1,⌀,±0.1,mm,332,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_11,,,dim_axial_ref_2,,2 (REF),None,REF,mm,2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_12,,,dim_axial_ref_0_5,,0.5,None,None,mm,0.5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_13,,,dim_chamfer_1x45_min,,1 X 45° MIN,None,MIN,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_14,,,dim_chamfer_2x45_both_sides,,2 X 45° BOTH SIDES,None,None,mm,2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_15,,,dim_crowning_length,,45,None,None,mm,45,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_16,,,dim_crowning_height,,0.02 +0.02 +0.005,None,+0.02 +0.005,mm,0.02,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_17,,,dim_spline_chamfer_0_4x45_both_flanks,,0.4 X 45° BOTH FLANKS,None,None,mm,0.4,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_18,,,dim_hole_dia_30_4_equispaced,,⌀30-4 HOLES EQUISPACED ON 180 PCD,⌀,None,mm,30,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_19,,,dim_hole_dia_5_2_holes,,⌀5.2-HOLES TO BE IN BETWEEN 2-SPLINES ON 66 P.C.D. WITHIN 0.1R OF TRUE POSITION,⌀,None,mm,5.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,dim_spline_major_dia; dim_bore,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,,,PNG,6615,61883325,9355,774,1953,2727,3477,gemini_api_with_estimation_fallback,6204,mm,,,
