Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO 55-58 HRC.,None,55-58 HRC,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED AT,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED AT ROOT TOOTH.,None,ROOT TOOTH,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,view_top,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO,UNIFORMLY NORMALISE TO 170-210 BHN.,None,170-210 BHN,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,CHAIN SIZE,CHAIN SIZE: 5-8 ASTM.,None,5-8 ASTM,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,view_top,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,dimensions_Item_1,,,dim_outer_dia,tip of gear tooth (left); tip of gear tooth (right),⌀392.0,⌀,None,mm,392.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,dimensions_Item_2,,,dim_hub_dia,outer edge of hub (left); outer edge of hub (right),⌀170,⌀,None,mm,170.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,dimensions_Item_3,,,dim_face_width,left face of gear rim; right face of gear rim,45,None,None,mm,45.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,dimensions_Item_4,,,dim_hub_height,left-most face of gear assembly; right-most face of gear assembly,54,None,None,mm,54.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,dimensions_Item_5,,,dim_bore,inner edge of bore (top); inner edge of bore (bottom),⌀68 H7,⌀,H7,mm,68.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,features_Item_3,,,,,,,,,,,dim_bore,,H7,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,features_Item_4,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,General,,,,,,,,,,,,,,,,,,,,P1001046A,SN430C H7870,BULL GEAR,1:1,,,,,,,JPEG,566,452800,800,516,3793,4309,2973,gemini_api_with_estimation_fallback,7282,mm,,,
