Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
9,"{'primary': {'value': '(1.050)', 'unit': 'inch', 'tolerance': 'reference'}}",Internal step/feature depth (reference),internal feature,Section A-A,1,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"{'primary': {'value': '1.336', 'unit': 'inch', 'tolerance': 'unspecified_general'}}",Internal step/feature depth,internal feature,Section B-B,1,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"{'primary': {'value': 'R.385', 'unit': 'inch', 'tolerance': 'unspecified_general'}}",Pocket radius,pocket,View C-C,1,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"{'primary': {'value': '0.094', 'unit': 'inch', 'tolerance': 'unspecified_general'}}",Pocket depth,pocket,View C-C,1,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,,,,,,,"{'linear': 'UNLESS OTHERWISE SPECIFIED', 'angular': 'UNLESS OTHERWISE SPECIFIED', 'standard_reference': None}","[{'feature': 'Machined text depth', 'tolerance': '0.005/0.010', 'type': 'limit', 'unit': 'inch'}]",
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,['A'],4X ⌀.130 THRU holes,"Top view, near 4X ⌀.130 THRU callout",RFS,position,⌀.256,diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,['A'],2X ⌀.460 THRU holes,"Right view, near 2X ⌀.460 THRU callout",RFS,position,⌀.050,diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,Indicated surfaces,RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threaded_Feature,,,,,,,,,,,,,,,,,,,1,Center hole,1,,THRU ALL,8-32 UNC,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,"Through the center of the part, vertically","[{'feature': 'Internal step/feature depth', 'value': '0.826', 'unit': 'inch', 'tolerance': 'unspecified_general'}, {'feature': 'Internal step/feature depth (reference)', 'value': '(1.050)', 'unit': 'inch', 'tolerance': 'reference'}]",SECTION A-A,unspecified,full section,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,2,"Through the center of the part, horizontally","[{'feature': 'Internal step/feature depth', 'value': '1.336', 'unit': 'inch', 'tolerance': 'unspecified_general'}]",SECTION B-B,unspecified,full section,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,3,VIEW PERPENDICULAR TO SURF A,"[{'feature': 'Pocket radius', 'value': 'R.385', 'unit': 'inch', 'tolerance': 'unspecified_general'}, {'feature': 'Pocket depth', 'value': '0.094', 'unit': 'inch', 'tolerance': 'unspecified_general'}]",VIEW C-C,unspecified,detail view,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Entire part,Bottom left,REMOVE ALL BURRS AND SHARP EDGES.,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,All dimensions and tolerances,Bottom left,TOLERANCES APPLY AFTER PLATING.,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Entire part,Bottom left,"ANODIZE CLEAR PER MIL-A-8625 TYPE 2, CLASS 1 HEAVY NICKEL-ACETATE SEAL.",coating,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Machined text (e.g., '00255703-A' on top surface)",Bottom left,RETRIEVE MACHINED TEXT LOCATIONS FROM 3D CAD FILE PROVIDED BY QUANTEL USA. MACHINED TEXT DEPTH TO BE .005/.010. TEXT MAY ALSO BE LASER ETCHED.,machining,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Indicated surfaces (implied by callout near 'SEE NOTE 5'),Bottom left,RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER ON INDICATED SURFACES.,surface_finish,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Perimeter of the part,Bottom left,.020 X .020 CHAMFER AROUND PERIMETER.,feature_callout,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,All specifications,Bottom left,UNLESS OTHERWISE SPECIFIED,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Drawing usage,Bottom center,DO NOT SCALE DRAWING,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['ECN', 'REV', 'ZONE', 'DESCRIPTION', 'DATE', 'APPROVED']","[{'ECN': '3058', 'REV': '2', 'ZONE': 'BC2', 'DESCRIPTION': ""UPDATE THE 2X THRU HOLES AND 1X C'BORE DIAMETERS FROM .510 TO .460"", 'DATE': '5/3/2013', 'APPROVED': 'M PERKINS'}, {'ECN': '3018', 'REV': 'A', 'ZONE': 'ALL', 'DESCRIPTION': 'RELEASE TO DOCUMENT CONTROL', 'DATE': '3/21/2013', 'APPROVED': 'T TEMPERO'}]",REVISIONS,revision_history,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,6061-T6 AL,"ANODIZE CLEAR PER MIL-A-8625 TYPE 2, CLASS 1 HEAVY NICKEL-ACETATE SEAL",RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER ON INDICATED SURFACES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],"['TOLERANCES APPLY AFTER PLATING', 'REMOVE ALL BURRS AND SHARP EDGES']",Quality_Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,
