Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_8,,,dim_pcd_spline_drawing,,PCD 42,None,None,mm,42,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_9,,,dim_chamfer_1x45,,1 x 45°,None,None,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_10,,,dim_radius_r5,,R5 (BOTH SIDE),R,None,mm,5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_11,,,dim_groove_dia,,⌀120.417-0.3,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_12,,,dim_pitch_circle_dia_drawing,,PCD 125.016,None,None,mm,125.016,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_13,,,dim_spline_major_dia,,45.0 +0.62 / +0.25,None,+0.62 / +0.25,mm,45.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_14,,,dim_spline_minor_dia,,41.0 +0.16 / 0.0,None,+0.16 / 0.0,mm,41.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,features_Item_2,,,,,,,,,,,dim_hub_dia_outer,,,feat_hub,dim_face_width,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,features_Item_3,,,,,,,,,,,dim_hub_dia_inner,,,feat_hub_step_inner,dim_hub_height,,hub_inner_extension,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,features_Item_4,,,,,,,,,,,dim_bore,,H7,feat_bore_main,dim_face_width; dim_hub_height,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,features_Item_5,,,,,,,,,,,dim_spline_major_dia; dim_spline_minor_dia; dim_entry_dia; dim_pcd_spline_drawing,,,feat_spline,dim_face_width; dim_hub_height,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,assembly_order_Item_1,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,assembly_order_Item_2,feat_rim,add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,assembly_order_Item_3,feat_hub_step_inner,add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,assembly_order_Item_4,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,assembly_order_Item_5,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,General,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5;,GEAR Z-33 (4TH DRIVER),1:1,,,,,,,PNG,6615,61883325,9355,774,1982,2756,3838,gemini_api_with_estimation_fallback,6594,mm,,,
