Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_note,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",(a),,None,0.036,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",(a),,None,0.016,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβ),(a),,None,0.007,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),(a),,None,0.011,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),(a),,None,0.013,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),(a),,None,0.011,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),(a),,None,0.009,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),(a),,None,0.014,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,CASE CARBURIZED DEPTH,,,mm,0.9-1.2,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS (CASE),,,HRC,58-62,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS (CORE),,,HRC,32-42,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,SHOT BLAST DESCALE SHOT SIZE,,,MM,≤ 1,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_surface_treatment,None,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,CORNERS,,,None,ALL SHARP CORNERS INCLUDING GEAR TEETH & SPLINE EDGES TO BE FREE FROM BURRS.,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_general_notes,None,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,NORMALIZE,,,None,155-185 BHN,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,,,None,5 TO 8 ASTM,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,MICROSTRUCTURE,,,None,ON REPRESENTATIVE SAMPLE MUST SHOW UNIFORM GRAINED LAMELLAR PEARLITE & FERRITE FREE FROM WIDMANSTATTEN INTERMEDIATE BANDED STRUCTURE.,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,BAINITE,,,None,UP TO 5%,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_details,None,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,CROWNING,,,None,NEGATIVE CROWNING IS NOT ALLOWED ON GEAR TEETH PROFILE.,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY REQUIREMENT,,,None,AND ACCEPTABILITY NORMS TO CONFIRM SWARAJ ENGINEERING STANDARD SES-1007.,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,EAP,,,None,MAY BE CONSIDERED AS 135 FOR INSPECTION PURPOSE ONLY.,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,tables_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_notes,None,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_1,,,dim_outer_dia,,⌀136.2 -0.1,,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_2,,,dim_hub_dia,,⌀58,,⌀,None,mm,58.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_3,,,dim_face_width,,15.2±0.1,,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_4,,,dim_hub_height,,24.7 -0.1,,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_5,,,dim_bore_entry,,⌀46 (ENTRY DIA),,⌀,None,mm,46.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_6,,,dim_pcd_gear,,PCD 125.016,,PCD,None,mm,125.016,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_7,,,dim_pcd_spline,,PCD 42,,PCD,None,mm,42.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_8,,,dim_inner_dia_90,,⌀90,,⌀,None,mm,90.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_9,,,dim_inner_dia_120,,⌀120.417 -0.3,,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_10,,,dim_axial_step_4_75,,4.75±0.1,,None,±0.1,mm,4.75,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_11,,,dim_chamfer_1x45,,1 x 45°,,x 45°,None,mm,1.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_12,,,dim_radius_r5,,R5,,R,None,mm,5.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_13,,,dim_chamfer_2_5,,2.5,,None,None,mm,2.5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_14,,,dim_groove_0_8x0_3,,"0.8X0.3 DEEP, GROOVE",,"X 0.3 DEEP, GROOVE",None,mm,0.8,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_15,,,dim_spline_major_dia,,45.0 +0.62 / +0.25,tbl_spline_data,⌀,+0.62 / +0.25,mm,45.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_16,,,dim_spline_minor_dia,,41.0 +0.16 / 0.0,tbl_spline_data,⌀,+0.16 / 0.0,mm,41.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_17,,,dim_lead_crowning_tol,,0.005-0.015,,None,0.005-0.015,mm,None,view_lead_crowning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_18,,,dim_gear_tooth_edge_chamfer_range,,0.3-1.0,,None,0.3-1.0,mm,None,view_gear_tooth_edge_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_19,,,dim_gear_tip_chamfer_axial,,0.35±0.1,,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,dimensions_Item_20,,,dim_gear_tip_chamfer_radial,,0.35±0.1,,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,features_Item_1,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,features_Item_2,,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,features_Item_3,,,,,,,,,,,,dim_bore_entry,,None,feat_bore_spline_entry,,,bore_entry,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,features_Item_4,,,,,,,,,,,,dim_spline_major_dia; dim_spline_minor_dia,,,feat_spline,,,spline_bore,tbl_spline_data; tbl_permissible_deviations,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,assembly_order_Item_3,feat_bore_spline_entry,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b70459-8e6f-4fe5-aa28-2982a61484c3_image (6).png,General,,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5; IS:9175,GEAR Z-33 (4TH DRIVER),1:1,,,,,,,,PNG,6615,61883325,9355,774,1948,2722,5161,gemini_api_with_estimation_fallback,7883,mm,,,
