Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
9,"{'primary': {'value': '7.5', 'unit': 'mm', 'tolerance': '±0.1'}, 'secondary': None}",Axial length of outer hub sections,length,Section view,2,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
10,"{'primary': {'value': '16', 'unit': 'mm', 'tolerance': '+0.2/-0.1'}, 'secondary': None}",Axial length of central hub section,length,Section view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
11,"{'primary': {'value': '5', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Axial length of tooth base,length,Section view,2,TYP (typical),43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
12,"{'primary': {'value': 'R141.62', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Outer tooth profile radius,radius,Front view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
13,"{'primary': {'value': 'R18.97', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Root radius of sprocket teeth,radius,Front view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
14,"{'primary': {'value': '38.1', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Tooth width at pitch line (approx),length,Front view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
15,"{'primary': {'value': '8.21', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Tooth height from pitch line to tip (approx),length,Front view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
16,"{'primary': {'value': '8', 'unit': 'mm', 'tolerance': 'Js9'}, 'secondary': None}",Keyway width,keyway,"Front view, bore",1,Shaft basis fit,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
17,"{'primary': {'value': '38.3', 'unit': 'mm', 'tolerance': '+0.2'}, 'secondary': None}",Keyway depth from center,keyway,"Front view, bore",1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,"{'linear': ""See 'PERMISSIBLE DEVIATIONS FOR LINEAR DIMENSIONS' table"", 'angular': None, 'standard_reference': None}","[{'feature': 'Axial length of outer hub sections', 'tolerance': '±0.1', 'type': 'bilateral'}, {'feature': 'Axial length of central hub section', 'tolerance': '+0.2/-0.1', 'type': 'unilateral'}, {'feature': 'Keyway depth from center', 'tolerance': '+0.2', 'type': 'unilateral'}, {'feature': 'Bore diameter', 'tolerance': 'H7', 'type': 'fit'}, {'feature': 'Keyway width', 'tolerance': 'Js9', 'type': 'fit'}, {'feature': 'All drilled & taped holes center distances', 'tolerance': '±0.2', 'type': 'bilateral'}]"
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,General surfaces,ROUGH,,,unclear_text (single triangle),,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,2,,General surfaces,CLEAN CUT / TURN,,,unclear_text (double triangle),,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,3,,General surfaces,MILL / GRIND,,,unclear_text (triple triangle),,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,4,,General surfaces,LAPPING,,,unclear_text (triple triangle with circle),,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,"Through the center of the sprocket, along its axis","[{'feature': 'Outer diameter of sprocket', 'value': '⌀137', 'unit': 'mm', 'tolerance': None}, {'feature': 'Hub diameter', 'value': '⌀108', 'unit': 'mm', 'tolerance': None}, {'feature': 'Inner hub diameter', 'value': '⌀83', 'unit': 'mm', 'tolerance': None}, {'feature': 'Bore diameter', 'value': '⌀60', 'unit': 'mm', 'tolerance': None}, {'feature': 'Overall axial length', 'value': '50', 'unit': 'mm', 'tolerance': None}, {'feature': 'Axial length of outer hub sections', 'value': '7.5', 'unit': 'mm', 'tolerance': '±0.1'}, {'feature': 'Axial length of central hub section', 'value': '16', 'unit': 'mm', 'tolerance': '+0.2/-0.1'}, {'feature': 'Axial length of tooth base', 'value': '5', 'unit': 'mm', 'tolerance': 'TYP'}]",,,full section,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,1,Sprocket and Insert,"Bottom left, general notes",INSERT HAS TO BE PRESS FITTED IN TO SPROCKET,assembly instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,2,All drilled and tapped holes (none explicitly dimensioned on this drawing),"Bottom left, general notes",ALL DRILLED & TAPED HOLES CENTER DISTANCES TO BE MAINTENED WITHIN ±0.2,tolerance/quality control,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,3,All unspecified chamfers,"Bottom left, general notes",UNSPCIFIED CHAMFER 0.5*45°,machining instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,4,Entire part,"Bottom left, general notes",REMOVE ALL SHARP EDGES,machining instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,5,Drawing document,Title block,DO NOT REVISE MANUALLY. DO NOT TAKE REPRODUCIBLE,drawing control,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,6,Drawing document,Title block,A4-THIS IS A CAD DRAWING,drawing information,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,7,Manufacturing process,"Title block, 'MACHINE NAME' field",SPM-W/C TESTING,machine name,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['S.NO', 'DESCRIPTION', 'MATL.']","[{'S.NO': '1', 'DESCRIPTION': 'SPROCKET', 'MATL.': 'P.P./DERLINE'}, {'S.NO': '2', 'DESCRIPTION': 'INSERT', 'MATL.': 'M.S.'}]",,Bill of Materials,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,2,[],"[{'parameter': 'NO OF TEETH', 'value': '10'}, {'parameter': 'P.C.D.', 'value': '⌀123.3'}, {'parameter': 'O.D.', 'value': '⌀137'}]",SPROKET DATA,Sprocket Data,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,3,"['0.5 TO 6', '3 TO 30', '30 TO 120', '120 TO 400', '400 TO 1000', '1000 TO 2000', '2000 TO 4000']","[{'0.5 TO 6': '±0.1', '3 TO 30': '±0.2', '30 TO 120': '±0.3', '120 TO 400': '±0.5', '400 TO 1000': '±0.8', '1000 TO 2000': '±1.2', '2000 TO 4000': '±2'}]",PERMISSIBLE DEVIATIONS FOR LINEAR DIMENSIONS,General Tolerances,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,4,[],"[{'description': 'Qty. For One Assembly', 'value': ""2 No's.""}, {'description': 'Total No of Assemblys', 'value': ""2 No's""}, {'description': 'Total Qty.', 'value': ""4 No's""}]",,Quantity Information,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,"SPROCKET: P.P./DERLINE, INSERT: M.S.",,"Indicated by surface roughness symbols (ROUGH, CLEAN CUT, TURN, MILL/GRIND, LAPPING)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['⌀35H7 (bore diameter)', '8Js9 (keyway width)', '38.3+0.2 (keyway depth)', 'P.C.D.⌀123.3', 'NO OF TEETH = 10']","['INSERT HAS TO BE PRESS FITTED IN TO SPROCKET', 'ALL DRILLED & TAPED HOLES CENTER DISTANCES TO BE MAINTENED WITHIN ±0.2']",[],Quality_Requirements,,,,,,,,,,,,,,,,,,,,
