Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_note,tables_cells_symbol,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),,,,None,P50001751D,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,,,±0.05,mm,103.0,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,,,,mm,125.016,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,,,,mm,116.315,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),,,-0.169 / -0.269,mm,138.339,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,,mm,6.5,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,SAP,,,,mm,122.842,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,EAP,,,,mm,135.2,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),,,,mm,122.381,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,,,,mm,125.889,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,,,,None,DIN 5480,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,FIT,,,,None,SIDE FIT,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,,,,None,21,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,,mm,2.0,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,,°,30,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,,+0.217 / +0.117,mm,37.603,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,,mm,3.5,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,,,+0.62 / +0.25,mm,45.0,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,,,+0.16 / 0.0,mm,41.0,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE:- SPLINE PITCH CYLINDER,,,,None,None,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,,,,mm,0.07,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,(a),X,,mm,0.032,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",(a),X,,mm,0.036,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",(a),X,,mm,0.016,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβ),(a),X,,mm,0.007,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),(a),X,,mm,0.011,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),(a),X,,mm,0.013,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),(a),X,,mm,0.011,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),(a),X,,mm,0.009,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),(a),X,,mm,0.014,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,CASE CARBURIZED TO A DEPTH OF,,,,mm,0.9-1.2,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,HARDEN TO,,,,HRC,58-62,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,CORE HARDNESS,,,,HRC,32-42,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,SHOT BLAST TO DESCALE SHOT SIZE,,,,MM,≤ 1,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_surface_treatment,None,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,1. NORMALIZED TO,,,,BHN,155-185,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,2. GRAIN SIZE,,,,ASTM,5 TO 8,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,3. MICROSTRUCTURE ON REPRESENTATIVE SAMPLE MUST SHOW UNIFORM GRAINED LAMELLAR PEARLITE & FERRITE FREE FROM WIDMANSTATTEN INTERMEDIATE STRUCTURE.,,,,None,None,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,4. FORGING TO HAVE BAINITE UP TO,,,,%,5,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_details,None,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,ALL SHARP CORNERS INCLUDING GEAR TEETH & SPLINE EDGES TO BE FREE FROM BURRS.,,,,None,None,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_general_notes,None,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,1. NEGATIVE CROWNING IS NOT ALLOWED ON GEAR TEETH PROFILE.,,,,None,None,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,2. QUALITY REQUIREMENT AND ACCEPTABILITY NORMS TO CONFIRM SWARAJ ENGINEERING STANDARD SES-1007.,,,,None,None,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,3. EAP MAY BE CONSIDERED AS,FOR INSPECTION PURPOSE ONLY,,,None,135,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,tables_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_notes,None,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_1,,,dim_outer_dia,,⌀136.2-0.1,,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_2,,,dim_hub_dia,,⌀90,,⌀,None,mm,90,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_3,,,dim_face_width,,15.2±0.1,,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_4,,,dim_hub_height,,24.7-0.1,,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_5,,,dim_bore_spline_minor,,41.0 +0.16 / 0.0,tbl_spline_data,⌀,+0.16 / 0.0,mm,41.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_6,,,dim_hub_dia_extension,,⌀58 (BOTH SIDE),,⌀,None,mm,58,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_7,,,dim_spline_entry_dia,,⌀46 (ENTRY DIA),,⌀,None,mm,46,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_8,,,dim_spline_pcd,,PCD 42,,PCD,None,mm,42,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_9,,,dim_spline_major_dia,,45.0 +0.62 / +0.25,tbl_spline_data,⌀,+0.62 / +0.25,mm,45.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_10,,,dim_chamfer_1x45,,1 x 45° (BOTH SIDE),,None,None,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_11,,,dim_radius_R5,,R5 (BOTH SIDE),,R,None,mm,5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_12,,,dim_groove_dia,,⌀120.417-0.3,,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_13,,,dim_groove_desc,,"0.8X0.3 DEEP, GROOVE",,None,None,None,None,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_14,,,dim_gear_tooth_edge_chamfer,,0.3-1.0,,None,None,mm,0.3-1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_15,,,dim_gear_tip_chamfer_axial,,0.35±0.1,,None,±0.1,mm,0.35,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_16,,,dim_gear_tip_chamfer_radial,,0.35±0.1,,None,±0.1,mm,0.35,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_17,,,dim_lead_crowning,,0.005-0.015,,None,None,mm,0.005-0.015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,dimensions_Item_18,,,dim_gear_pcd,,PCD 125.016,,PCD,None,mm,125.016,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,features_Item_1,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,features_Item_2,,,,,,,,,,,,dim_hub_dia_extension,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,features_Item_3,,,,,,,,,,,,dim_bore_spline_minor,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,features_Item_4,,,,,,,,,,,,,,,feat_spline,dim_hub_height,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f552b7d3-f655-4ffe-8ad7-500a3fdf1ea3_image (6).png,General,,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5;,GEAR Z-33 (4TH DRIVER),1:1,,,,,,,,,PNG,6615,61883325,9355,774,1949,2723,4311,gemini_api_with_estimation_fallback,7034,mm,,,
