Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,30,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,mm,37.603 +0.217 / +0.117,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,mm,3.5,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,mm,45.0 +0.62 / +0.25,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,mm,41.0 +0.16 / 0.0,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE:- SPLINE PITCH CYLINDER,None,None,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,mm,0.07,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,mm,X 0.032 (a),,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",mm,X 0.036 (a),,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",mm,X 0.016 (a),,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβ),mm,X 0.007 (a),,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),mm,X 0.011 (a),,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),mm,X 0.013 (a),,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),mm,X 0.011 (a),,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),mm,X 0.009 (a),,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),mm,X 0.014 (a),,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,CASE CARBURIZED TO A DEPTH OF,mm,0.9-1.2,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,HARDEN TO,HRC,58-62,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,CORE HARDNESS,HRC,32-42,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,SHOT BLAST TO DESCALE SHOT SIZE,MM,≤ 1,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_surface_treatment,None,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,GENERAL,None,ALL SHARP CORNERS INCLUDING GEAR TEETH & SPLINE EDGES TO BE FREE FROM BURRS.,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_general_notes,None,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,1. NORMALIZED TO,BHN,155-185,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,2. GRAIN SIZE,ASTM,5 TO 8,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,3. MICROSTRUCTURE ON REPRESENTATIVE SAMPLE MUST SHOW UNIFORM GRAINED LAMELLAR PEARLITE & FERRITE FREE FROM WIDMANSTATTEN INTERMEDIATE & BANDED STRUCTURE.,None,None,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,4. FORGING TO HAVE BAINITE UP TO,%,5,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_details,None,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,1. NEGATIVE CROWNING IS NOT ALLOWED ON GEAR TEETH PROFILE.,None,None,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,2. QUALITY REQUIREMENT AND ACCEPTABILITY NORMS TO CONFIRM SWARAJ ENGINEERING STANDARD SES-1007.,None,None,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,3. EAP MAY BE CONSIDERED AS,None,135,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,FOR INSPECTION PURPOSE ONLY,None,None,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_notes,None,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_1,,,dim_outer_dia,,⌀136.2-0.1,,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_2,,,dim_hub_dia,,⌀58,,⌀,None,mm,58,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_3,,,dim_face_width,,15.2±0.1,,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_4,,,dim_hub_height,,24.7-0.1,,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_5,,,dim_bore,,None,missing_on_drawing,⌀,None,mm,None,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_6,,,dim_gear_pcd,,PCD 125.016,,⌀,None,mm,125.016,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_7,,,dim_gear_root_dia,,⌀120.417-0.3,,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_8,,,dim_spline_pcd,,PCD 42,,⌀,None,mm,42,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_9,,,dim_spline_entry_dia,,⌀46 (ENTRY DIA),,⌀,None,mm,46,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_10,,,dim_spline_axial_length,,2.5,,None,None,mm,2.5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_11,,,dim_chamfer_rim,,1 x 45°,,None,None,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_12,,,dim_hub_radius,,R5,,R,None,mm,5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_13,,,dim_spline_chamfer_angle,,60°,,None,None,deg,60,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_14,,,dim_identification_groove_dia,,⌀8.0,,⌀,None,mm,8.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,dimensions_Item_15,,,dim_identification_groove_depth,,0.3,,None,None,mm,0.3,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,features_Item_1,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data; tbl_permissible_deviations,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,features_Item_2,,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,features_Item_3,,,,,,,,,,,,,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,features_Item_4,,,,,,,,,,,,dim_spline_entry_dia; dim_spline_pcd,,,feat_spline,dim_spline_axial_length,,spline_bore,tbl_spline_data; tbl_permissible_deviations,internal_spline,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,assembly_order_Item_3,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,General,,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5; IS:9175,GEAR Z-33 (4TH DRIVER),1:1,,,,,,PNG,6615,61883325,9355,774,1953,2727,4345,gemini_api_with_estimation_fallback,7072,mm,,,
