Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,metadata_weight_unit,metadata_weight_value,tables_cells_label,tables_cells_raw_text,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_error,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-12) DWG NO. (2),759019,,None,759019,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,195.75±0.112,±0.112,mm,195.75,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE,INVOLUTE,,None,INVOLUTE,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,22,,None,22,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,2.5,,mm,2.5,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,30°,,°,30,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,50.552 +0.158 +0.093,+0.158 +0.093,mm,50.552,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,4.5,,mm,4.5,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,⌀60 +0.3 -0,,mm,60,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,⌀55 -0 -0.19,,mm,55,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO.,1.,,None,1,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,B-B,,None,B-B,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,MIDDLE OF TOOTH,,None,MIDDLE OF TOOTH,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,45-53 RC,,None,45-53 RC,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,X = 1.4 - 7.0 (ABOVE ROOT DIA),,mm,X = 1.4 - 7.0 (ABOVE ROOT DIA),,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,DIG-2,,None,DIG-2,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO.,2.,,None,2,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,A-A & C-C,,None,A-A & C-C,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,MIDDLE OF TOOTH,,None,MIDDLE OF TOOTH,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,45-53 RC,,None,45-53 RC,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,Y1 = 1.5 - 5.6 (BELOW ROOT DIA),,mm,Y1 = 1.5 - 5.6 (BELOW ROOT DIA),,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,DIG-3,,None,DIG-3,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO.,3.,,None,3,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,B-B,,None,B-B,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,MIDDLE OF TOOTH SPACE,,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,50-58 HRC/OHV,,None,50-58 HRC/OHV,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,Y = 0.8 - 6.6 (BELOW ROOT DIA),,mm,Y = 0.8 - 6.6 (BELOW ROOT DIA),,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,DIG-2,,None,DIG-2,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO.,4.,,None,4,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_20,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,A-A & C-C,,None,A-A & C-C,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_21,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,MIDDLE OF TOOTH SPACE,,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_22,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,50-58 HRC/OHV,,None,50-58 HRC/OHV,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_23,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,Y = 1.3 - 7.1 (BELOW ROOT DIA),,mm,Y = 1.3 - 7.1 (BELOW ROOT DIA),,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_24,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,DIG-3,,None,DIG-3,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_case_hardness,None,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF SPLINE PITCH CYLINDER,0.100,,mm,0.1,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES A & B,0.100,,mm,0.1,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES C & D,0.5 MAX.,MAX.,mm,0.5,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i'',0.090,,mm,0.09,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i'',0.040,,mm,0.04,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,0.028,,mm,0.028,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE PROFILE FORM DEVIATION f_f,0.028,,mm,0.028,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO,53-58 HRC.,,None,53-58 HRC.,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T. TOOTH.,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T. TOOTH.,,None,None,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO 170-210 BHN.,UNIFORMLY NORMALISE TO 170-210 BHN.,,None,None,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE 5-8 ASTM.,GRAIN SIZE 5-8 ASTM.,,None,None,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,dimensions_Item_1,,,dim_outer_dia,points to the outermost tip of the gear teeth,⌀332 ±0.1,⌀,±0.1,mm,332,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,dimensions_Item_2,,,dim_hub_dia,points to the outer cylindrical surface of the hub,⌀82,⌀,None,mm,82,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,dimensions_Item_3,,,dim_face_width,points to the faces of the gear rim (toothed section),45 +0 -1,None,+0 -1,mm,45,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,dimensions_Item_4,,,dim_hub_height,points to the overall end faces of the gear assembly,54 ±0.2,None,±0.2,mm,54,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,dimensions_Item_5,,,dim_bore,points to the major diameter of the internal spline,⌀60 +0.3 -0,⌀,+0.3 -0,mm,60,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,dimensions_Item_6,,,dim_spline_minor_dia,points to the minor diameter of the internal spline,⌀55 -0 -0.19,⌀,-0 -0.19,mm,55,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,features_Item_4,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,General,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,kg,14.86,,,,,,,,Could not read image dimensions,500,4728,5228,4447,gemini_api_with_estimation_fallback,9675,mm,,,
