Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_description,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_8,,,dim_hub_dia_small_step,,⌀ 58,⌀,None,mm,58.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_9,,,dim_bore_entry_dia,,⌀ 46 (ENTRY DIA),⌀,None,mm,46.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_10,,,dim_chamfer_1x45,,1 x 45°,x 45°,None,mm,1.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_11,,,dim_radius_r5,,R5,R,None,mm,5.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_12,,,dim_groove_dia,,"⌀ 8.0 X 0.3 DEEP, GROOVE",⌀,None,mm,8.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_13,,,dim_groove_depth,,0.3 DEEP,DEEP,None,mm,0.3,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_14,,,dim_gear_tooth_edge_chamfer,,0.3-1.0,None,None,mm,0.3-1.0,view_gear_tooth_edge_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_15,,,dim_gear_tip_chamfer_axial,,0.35 ±0.1,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_16,,,dim_gear_tip_chamfer_radial,,0.35 ±0.1,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,features_Item_1,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,features_Item_2,,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,features_Item_3,,,,,,,,,,,,dim_hub_dia_small_step,,,feat_hub_small_step,dim_hub_height,,hub_inner,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,features_Item_4,,,,,,,,,,,,dim_bore,,None,feat_bore_main,dim_hub_height,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,features_Item_5,,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,features_Item_6,,,,,,,,,,,0.3 DEEP,dim_groove_dia,,,feat_groove,,,identification_groove,,groove,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,assembly_order_Item_3,feat_hub_small_step,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,assembly_order_Item_4,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,assembly_order_Item_5,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,assembly_order_Item_6,feat_groove,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,General,,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5,GEAR Z-33 (4TH DRIVER),1:1,,,,,,PNG,6615,61883325,9355,774,1945,2719,3867,gemini_api_with_estimation_fallback,6586,mm,,,
