Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_base_shapes,Quality_critical_dimensions,Quality_final_shape_description,Quality_functional_requirements,Quality_inspection_requirements,Quality_subtracted_features,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,Machined surfaces (TURN),TURN,Ra,1.6,triangle,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,2,,Machined surfaces (GRIND),GRIND,Ra,0.8,two_triangles,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,3,,Machined surfaces (MILL),MILL,Ra,0.4,three_triangles,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,4,,Machined surfaces (CLEAN),CLEAN,Ra,0.2,four_triangles,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,through_center_of_part,"[{'feature': 'Overall Length', 'value': '50', 'unit': 'mm', 'tolerance': 'general_tolerance_for_50mm'}, {'feature': 'Central Bore Diameter', 'value': '35', 'unit': 'mm', 'tolerance': 'H7'}, {'feature': 'Central Hub Diameter', 'value': '60', 'unit': 'mm', 'tolerance': 'general_tolerance_for_60mm'}, {'feature': 'Central Hub Length', 'value': '16', 'unit': 'mm', 'tolerance': '+0.01/-0.02'}, {'feature': 'Intermediate Hub Diameter', 'value': '83', 'unit': 'mm', 'tolerance': 'general_tolerance_for_83mm'}, {'feature': 'Outer Hub Diameter', 'value': '108', 'unit': 'mm', 'tolerance': 'general_tolerance_for_108mm'}, {'feature': 'Outer Hub Length', 'value': '7.5', 'unit': 'mm', 'tolerance': '±0.1'}, {'feature': 'Tooth Section Thickness', 'value': '5', 'unit': 'mm', 'tolerance': 'TYP'}]",unspecified,1:2,half_section,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,1,Insert (Item 2) and Sprocket (Item 1),bottom_left,INSERT HAS TO BE PRESS FITTED IN TO SPROCKET,assembly_instruction,,,,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,2,all drilled and tapped holes (if any),bottom_left,ALL DRILLED & TAPED HOLES CENTER,general_machining_instruction,,,,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,3,all unspecified distances,bottom_left,DISTANCES TO BE MAINTAINED WITHIN ±0.2,general_tolerance_note,,,,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,4,all unspecified sharp edges,bottom_left,UNSPECIFIED CHAMFER 0.5x45°,machining_instruction,,,,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,5,all sharp edges,bottom_left,REMOVE ALL SHARP EDGES,machining_instruction,,,,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,6,Sprocket,top_right_of_drawing_area,Qty. For One Assembly=2 No's. Total No of Assembly=2 No's Total Qty. =4 No's,quantity_information,,,,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,7,drawing document,title_block,A4-THIS IS A CAD DRAWING. DO NOT REVISE MANUALLY. DO NOT MAKE REPRODUCIBLE.,drawing_control_note,,,,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['S.NO.', 'DESCRIPTION', 'MATL.', 'P.P.JOERLINE']","[{'S.NO.': '1', 'DESCRIPTION': 'SPROCKET', 'MATL.': 'M.S.', 'P.P.JOERLINE': ''}, {'S.NO.': '2', 'DESCRIPTION': 'INSERT', 'MATL.': '', 'P.P.JOERLINE': ''}]",S.NO. DESCRIPTION MATL. P.P.JOERLINE,parts_list,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,2,"['Parameter', 'Value']","[{'Parameter': 'NO OF TEETH', 'Value': '10'}, {'Parameter': 'P.C.D.', 'Value': '⌀123.3'}, {'Parameter': 'O.D.', 'Value': '⌀137'}]",SPROCKET DATA,sprocket_data,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,3,"['Range (mm)', 'Tolerance (mm)']","[{'Range (mm)': '0.5 to 6', 'Tolerance (mm)': '±0.1'}, {'Range (mm)': '6 to 30', 'Tolerance (mm)': '±0.2'}, {'Range (mm)': '30 to 120', 'Tolerance (mm)': '±0.3'}, {'Range (mm)': '120 to 400', 'Tolerance (mm)': '±0.5'}, {'Range (mm)': '1000 to 2000', 'Tolerance (mm)': '±1.0'}, {'Range (mm)': '2000 to 4000', 'Tolerance (mm)': '±2'}]",PERMISSIBLE DEVIATIONS FOR LINEAR DIMENSIONS,permissible_deviations_for_linear_dimensions,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,M.S.,,"Surface roughness specified by machining process (TURN, GRIND, MILL, CLEAN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['⌀35H7', '16+0.01/-0.02', '39.3+0.2/-0']",,['INSERT HAS TO BE PRESS FITTED IN TO SPROCKET'],['DISTANCES TO BE MAINTAINED WITHIN ±0.2'],,Quality_Requirements,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'shape_type': 'cylinder', 'description': 'Central hub', 'dimensions': {'outer_diameter': '60', 'inner_diameter': '35H7', 'height': '16'}, 'units': 'mm', 'position': 'centered_axially', 'additive_or_subtractive': 'additive'}, {'shape_type': 'annular_cylinder', 'description': 'Intermediate hub (left)', 'dimensions': {'outer_diameter': '83', 'inner_diameter': '35H7', 'height': '9.5'}, 'units': 'mm', 'position': 'adjacent_to_central_hub_left', 'additive_or_subtractive': 'additive'}, {'shape_type': 'annular_cylinder', 'description': 'Intermediate hub (right)', 'dimensions': {'outer_diameter': '83', 'inner_diameter': '35H7', 'height': '9.5'}, 'units': 'mm', 'position': 'adjacent_to_central_hub_right', 'additive_or_subtractive': 'additive'}, {'shape_type': 'annular_cylinder', 'description': 'Outer hub (left)', 'dimensions': {'outer_diameter': '108', 'inner_diameter': '35H7', 'height': '7.5'}, 'units': 'mm', 'position': 'adjacent_to_intermediate_hub_left', 'additive_or_subtractive': 'additive'}, {'shape_type': 'annular_cylinder', 'description': 'Outer hub (right)', 'dimensions': {'outer_diameter': '108', 'inner_diameter': '35H7', 'height': '7.5'}, 'units': 'mm', 'position': 'adjacent_to_intermediate_hub_right', 'additive_or_subtractive': 'additive'}, {'shape_type': 'annular_cylinder_with_profiled_surface', 'description': 'Sprocket teeth section', 'dimensions': {'outer_diameter': '137', 'inner_diameter': '35H7', 'height': '5', 'number_of_teeth': '10', 'pitch_circle_diameter': '123.3', 'tooth_root_radius': '18.97', 'tooth_tip_radius': '41.62', 'tooth_tip_width': '8.21'}, 'units': 'mm', 'position': 'centered_axially', 'additive_or_subtractive': 'additive'}]",,"The sprocket is constructed around a central through-bore of 35 mm diameter (H7 tolerance) and 50 mm overall length. A keyway is cut into this bore, centered axially within a 16 mm length. This keyway has a width of 39.3 mm (+0.2/-0) and a radial depth of 8.469 mm from the bore surface.

Around this bore, a series of concentric cylindrical sections are built up symmetrically from the center outwards. A central hub section with an outer diameter of 60 mm and a length of 16 mm (with tolerances +0.01/-0.02) is positioned concentrically around the bore. On each side of this 60 mm hub, an intermediate hub section with an outer diameter of 83 mm and a length of 9.5 mm (derived from overall length and other features) is added. Further outwards, on each side of the 83 mm hubs, an outer hub section with an outer diameter of 108 mm and a length of 7.5 mm (±0.1) is added. Finally, a central section with an outer diameter of 137 mm and a thickness of 5 mm (typical) is added, centered axially. This 137 mm diameter section forms the base for the sprocket teeth.

The sprocket teeth are then formed on the outer surface of this 5 mm thick, 137 mm diameter section. There are 10 teeth, with a Pitch Circle Diameter of 123.3 mm. The tooth profile is defined by a root radius of 18.97 mm, a tip radius of 41.62 mm, and a tooth width at the tip of 8.21 mm. All sharp edges on the part are to be removed with an unspecified chamfer of 0.5x45°.",,,"[{'feature_type': 'bore', 'shape': 'cylinder', 'quantity': '1', 'dimensions': {'diameter': '35H7', 'depth': '50'}, 'location': 'centered_axially', 'additive_or_subtractive': 'subtractive'}, {'feature_type': 'keyway', 'shape': 'rectangular_slot', 'quantity': '1', 'dimensions': {'width': '39.3', 'depth_from_bore_surface': '8.469', 'length': '16'}, 'location': 'centered_radially_on_bore_and_axially_within_16mm_length', 'additive_or_subtractive': 'subtractive'}, {'feature_type': 'chamfer', 'shape': 'conical_cut', 'quantity': 'multiple', 'dimensions': {'size': '0.5', 'angle': '45'}, 'location': 'all_sharp_edges', 'additive_or_subtractive': 'subtractive'}]",geometric_decomposition,,,,,,,,,,,,,,,,,,,,
