Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_symbol,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,+0.217/+0.117,mm,37.603,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,mm,3.5,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,,+0.62/+0.25,mm,45.0,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,,+0.16/0.0,mm,41.0,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE,,,None,SPLINE PITCH CYLINDER,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,,,mm,0.07,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,(a),,mm,0.032,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",(a),,mm,0.036,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",(a),,mm,0.016,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβr),(a),,mm,0.007,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),(a),,mm,0.011,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),(a),,mm,0.013,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),(a),,mm,0.011,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),(a),,mm,0.009,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),(a),,mm,0.014,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,CASE CARBURIZED TO A DEPTH OF,,,mm,0.9-1.2,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,HARDEN TO,,,HRC,58-62,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,CORE HARDNESS,,,HRC,32-42,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,SHOT BLAST TO DESCALE SHOT SIZE,,,MM,≤ 1,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_surface_treatment,None,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,ALL SHARP CORNERS INCLUDING GEAR TEETH & SPLINE EDGES TO BE,,,None,FREE FROM BURRS,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_general_notes,None,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,1. NORMALIZED TO,,,BHN,155-185,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,2. GRAIN SIZE,,,ASTM,5 TO 8,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,3. MICROSTRUCTURE ON REPRESENTATIVE SAMPLE MUST SHOW,,,None,UNIFORM GRAINED LAMELLAR PEARLITE & FERRITE FREE FROM WIDMANSTATTEN INTERMEDIATE STRUCTURE,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,4. FORGING TO HAVE BAINITE UP TO,,,%,5,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_details,None,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,1. NEGATIVE CROWNING IS NOT ALLOWED ON,,,None,GEAR TEETH PROFILE,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,2. QUALITY REQUIREMENT AND ACCEPTABILITY NORMS TO CONFIRM,,,None,SWARAJ ENGINEERING STANDARD SES-1007,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,3. EAP MAY BE CONSIDERED AS,,,None,135,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,tables_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_notes,None,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_1,,,dim_outer_dia,tip of gear tooth on one side; tip of gear tooth on opposite side,⌀136.2-0.1,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_2,,,dim_hub_dia,smaller hub diameter,⌀58 (BOTH SIDE),⌀,None,mm,58,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_3,,,dim_hub_dia_90,larger hub diameter,⌀90,⌀,None,mm,90,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_4,,,dim_face_width,left face of gear rim; right face of gear rim,15.2±0.1,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_5,,,dim_hub_height,left end face of hub; right end face of hub,24.7-0.1,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_6,,,dim_bore,internal bore diameter,⌀46 (ENTRY DIA) (BOTH SIDE),⌀,None,mm,46,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_7,,,dim_gear_root_dia,gear root diameter,⌀120.417-0.3,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_8,,,dim_spline_pcd,internal spline pitch circle diameter,PCD 42,None,None,mm,42,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_9,,,dim_chamfer_1x45,chamfer on outer edge,1 x 45°,x 45°,None,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_10,,,dim_radius_R5,radius on hub shoulder,R5,R,None,mm,5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,dimensions_Item_11,,,dim_groove_id,groove for identification,"0.8 X 0.3 DEEP, GROOVE",None,None,None,None,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,features_Item_2,,,,,,,,,,,dim_hub_dia; dim_hub_dia_90,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,dim_hub_height,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,features_Item_4,,,,,,,,,,,dim_spline_pcd,,,feat_spline,dim_hub_height,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504950a8-75da-4cf0-9c37-f8d5f5abc211_image (6).png,General,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5; IS:9175,GEAR Z-33 (4TH DRIVER),1:1,,,,,,,,PNG,6615,61883325,9355,774,3793,4567,4258,gemini_api_with_estimation_fallback,8825,mm,,,
