Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_angle,dimensions_id,dimensions_note,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_chamfer_dim_ids,features_depth_dim_ids,features_diameter_dim_ids,features_face_width_dim_ids,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_pcd_dim_ids,features_radius_dim_ids,features_role,features_table_links,features_type,metadata_title_block_date,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_revision,metadata_title_block_scale,metadata_title_block_weight_kg,notes_text,notes_type,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_id,views_name
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,mm,0.032 (a),,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",mm,0.036 (a),,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",mm,0.016 (a),,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβr),mm,0.007 (a),,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),mm,0.011 (a),,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),mm,0.013 (a),,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),mm,0.011 (a),,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),mm,0.009 (a),,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),mm,0.014 (a),,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,view_section_bb,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,None,DIN 5480,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIT,None,SIDE FIT,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,None,21,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,None,2.0,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,30,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,mm,37.603⁺⁰·²¹⁷ / ⁺⁰·¹¹⁷,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,mm,3.5,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,mm,45.0⁺⁰·⁶² / ⁺⁰·²⁵,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,mm,41.0⁺⁰·¹⁶ / ⁰·⁰,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,view_section_bb,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_1,,,,dim_gear_outer_dia,,⌀136.2-0.1,⌀,-0.1,mm,136.2,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_2,,,,dim_gear_pcd,,PCD 125.016,PCD,None,mm,125.016,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_3,,,,dim_gear_root_dia,,⌀120.417-0.3,⌀,-0.3,mm,120.417,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_4,,,,dim_gear_base_dia,,⌀90,⌀,None,mm,90.0,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_5,,,,dim_hub_outer_dia,(BOTH SIDE),⌀58 (BOTH SIDE),⌀,None,mm,58.0,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_6,,,,dim_bore_entry_dia,(ENTRY DIA) (BOTH SIDE),⌀46 (ENTRY DIA) (BOTH SIDE),⌀,None,mm,46.0,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_7,,,,dim_spline_pcd,,PCD 42,PCD,None,mm,42.0,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_8,,,,dim_face_width,,15.2±0.1,None,±0.1,mm,15.2,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_9,,,,dim_hub_height,,24.7-0.1,None,-0.1,mm,24.7,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_10,,,45.0,dim_chamfer_gear_outer_edge,(BOTH SIDE),1 x 45°,None,None,mm,1.0,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_11,,,,dim_radius_hub_to_gear_transition,(BOTH SIDE),R5 (BOTH SIDE),R,None,mm,5.0,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_12,,,,dim_groove_identification,"0.3 DEEP, GROOVE (Q) FOR IDENTIFICATION ONLY","⌀8.0X0.3 DEEP, GROOVE (Q) FOR IDENTIFICATION ONLY",⌀,None,mm,8.0,view_section_bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_13,,,,dim_lead_crowning_depth,Range 0.005 to 0.015,0.005-0.015,None,None,mm,None,view_lead_crowning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_14,,,,dim_gear_tooth_edge_chamfer,"Range 0.3 to 1.0, TYP. BOTH SIDES",0.3-1.0 TYP. BOTH SIDES,None,None,mm,None,view_gear_tooth_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_15,,,,dim_gear_tip_chamfer_axial,,0.35±0.1,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,dimensions_Item_16,,,,dim_gear_tip_chamfer_radial,,0.35±0.1,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_1,,,,,,,,,,,,,,,dim_face_width,feat_gear_rim,,dim_gear_outer_dia,,,gear_tip,tbl_gear_data; tbl_permissible_deviations,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_2,,,,,,,,,,,,,,dim_hub_outer_dia,,feat_hub_outer,dim_hub_height,,,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_3,,,,,,,,,,,,,,dim_bore_entry_dia,,feat_bore_entry,,,,,entry_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_4,,,,,,,,,,,,,,,,feat_spline_bore,,,dim_spline_pcd,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_5,,,,,,,,,,,,,,dim_gear_pcd,,feat_gear_pcd_circle,,,,,gear_pitch_circle,,pitch_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_6,,,,,,,,,,,,,,dim_gear_root_dia,,feat_gear_root_circle,,,,,gear_root_circle,,cylindrical_feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_7,,,,,,,,,,,,,,dim_gear_base_dia,,feat_gear_base_circle,,,,,gear_base_circle,,cylindrical_feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_8,,,,,,,,,,,,dim_chamfer_gear_outer_edge,,,,feat_chamfer_gear_outer,,,,,gear_outer_edge_chamfer,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_9,,,,,,,,,,,,,,,,feat_radius_hub_transition,,,,dim_radius_hub_to_gear_transition,hub_to_gear_transition_radius,,fillet,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_10,,,,,,,,,,,,,,dim_groove_identification,,feat_identification_groove,,,,,identification_groove,,groove,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_11,,,,,,,,,,,,,dim_lead_crowning_depth,,,feat_lead_crowning,,,,,lead_crowning,,gear_tooth_modification,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_12,,,,,,,,,,,,dim_gear_tooth_edge_chamfer,,,,feat_gear_tooth_edge_chamfer_detail,,,,,gear_tooth_edge_chamfer,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,features_Item_13,,,,,,,,,,,,dim_gear_tip_chamfer_axial; dim_gear_tip_chamfer_radial,,,,feat_gear_tip_chamfer_detail,,,,,gear_tip_chamfer,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_1,feat_gear_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_2,feat_hub_outer,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_3,feat_bore_entry,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_4,feat_spline_bore,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_5,feat_chamfer_gear_outer,chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_6,feat_radius_hub_transition,fillet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_7,feat_identification_groove,groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_8,feat_lead_crowning,add_feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_9,feat_gear_tooth_edge_chamfer_detail,add_feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_10,feat_gear_tip_chamfer_detail,add_feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_11,feat_gear_pcd_circle,add_feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_12,feat_gear_root_circle,add_feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,assembly_order_Item_13,feat_gear_base_circle,add_feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(A) ALL DIMENSIONS ARE IN MM UNLESS STATED OTHERWISE.,general,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(B) CODE PRACTICE ABBREVIATIONS ETC TO IS:696.,general,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(C) WORK TO MEDIUM TOLERANCES OF IS:2102 TABLE-1 PAGE 3 FOR DIMENSIONS OF MACHINED SURFACES WHICH LIMITS HAVE NOT BEEN SPECIFIED.,general,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. NORMALISE TO 155-185 BHN.,forging_details,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. GRAIN SIZE 5 TO 8 ASTM.,forging_details,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. MICROSTRUCTURE ON REPRESENTATIVE SAMPLE MUST SHOW UNIFORM GRAINED LAMELLAR PEARLITE & FERRITE FREE FROM WIDMANSTATTEN INTERMEDIATE & BANDED STRUCTURE.,forging_details,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. FORGING TO HAVE BAINITE UP TO 5%.,forging_details,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE CARBURIZED TO A DEPTH OF 0.9-1.2 & HARDEN TO 58-62 HRC.,heat_treatment,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORE HARDNESS 32-42 HRC.,heat_treatment,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHOT BLAST TO DESCALE SHOT SIZE ≤ 1MM.,surface_treatment,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL SHARP CORNERS INCLUDING GEAR TEETH & SPLINE EDGES TO BE FREE FROM BURRS.,general_sharp_corners,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. NEGATIVE CROWNING IS NOT ALLOWED ON GEAR TEETH PROFILE.,specific_note,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. QUALITY REQUIREMENT AND ACCEPTABILITY NORMS TO CONFIRM SWARAJ ENGINEERING STANDARD SES-1007.,specific_note,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,notes_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. EAP MAY BE CONSIDERED AS 135 FOR INSPECTION PURPOSE ONLY.,specific_note,,,,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,General,,,,,,,,,,,,,,,,,,,,,,,,2025-04-07,P50011489B X (a),20MnCr5; IS:9175,GEAR Z-33 (4TH DRIVER),001,1:1,1.47,,,,,,,,PNG,6615,61883325,9355,774,2006,2780,5553,gemini_api_with_estimation_fallback,8333,mm,,
