Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_count,features_description,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_major_diameter_dim_ids,features_minor_diameter_dim_ids,features_outer_diameter_dim_ids,features_pcd_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,,,None,DIN 9 (DIN 3962-63),,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z=12) DWG NO.,,,None,759018,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,,±0.112,mm,195.75,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE,,,None,INVOLUTE,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,,,None,22,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,None,2.5,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,30,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,+0.158 +0.093,mm,50.552,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,mm,4.5,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF SPLINE PITCH CYLINDER,,,mm,0.1,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES A & B,,,mm,0.1,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES C & D,,MAX.,mm,0.5,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i""",,,mm,0.09,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i""",,,mm,0.04,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,,,mm,0.028,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION f_f,,,mm,0.028,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEETH TO BE INDUCTION HARDENED & TEMPERED,,,None,53-58 HRC,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDUCTION HARDENING PATTERN TO BE CENTRALISED,,,None,W.R.T. TOOTH,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE,,,None,170-210 BHN,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,,,None,5-8 ASTM,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO.,,,None,1,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,,,None,B-B,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,,,None,MIDDLE OF TOOTH,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,,,None,45-50 RC,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,,,mm,X = 1.4 - 7.0 (ABOVE ROOT DIA),,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,,,None,DIG-2,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_section_hardness_case_depth_1,None,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO.,,,None,2,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,,,None,A-A & C-C,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,,,None,MIDDLE OF TOOTH,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,,,None,45-50 RC,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,,,mm,Y1 = 1.5 - 5.6 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,,,None,DIG-3,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_section_hardness_case_depth_2,None,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO.,,,None,3,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,,,None,B-B,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,,,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,,,None,50-55 RC/OHV,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,,,mm,Y = 0.8 - 6.6 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,,,None,DIG-2,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_section_hardness_case_depth_3,None,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.NO.,,,None,4,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SECTION,,,None,A-A & C-C,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,,,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,,,None,50-55 RC/OHV,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,,,mm,Y = 1.3 - 7.1 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,,,None,DIG-3,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_section_hardness_case_depth_4,None,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,,⌀282,⌀,None,mm,282,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia_outer_step_1,,⌀82,⌀,None,mm,82,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_hub_dia_outer_step_2,,⌀78,⌀,None,mm,78,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_dia_spline_major,,⌀60 +0.3 -0,⌀,+0.3 -0,mm,60,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_hub_dia_spline_minor,,⌀55 -0 +0.19,⌀,-0 +0.19,mm,55,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_face_width,,54 ±0.2,None,±0.2,mm,54,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_7,,,dim_hub_extension_axial,,45 +0 -1,None,+0 -1,mm,45,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_8,,,dim_chamfer_1x45,,1 X 45°,None,None,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_9,,,dim_chamfer_2x45_both_sides,,2 X 45° BOTH SIDES,None,None,mm,2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_10,,,dim_radius_R20_gear_body,,R20,R,None,mm,20,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_11,,,dim_radius_R20_hub_fillet,,R20,R,None,mm,20,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_12,,,dim_pitch_circle_dia_307,,⌀307.67,⌀,None,mm,307.67,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_13,,,dim_pitch_circle_dia_319,,⌀319 P.C.D,⌀,None,mm,319,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_14,,,dim_overall_blank_dia,,⌀332 ±0.1,⌀,±0.1,mm,332,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_15,,,dim_pcd_180,,180 PCD,None,None,mm,180,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_16,,,dim_hole_dia_pcd_180,,⌀30,⌀,None,mm,30,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_17,,,dim_pcd_66,,66 P.C.D.,None,None,mm,66,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_18,,,dim_hole_dia_pcd_66,,⌀5.2,⌀,None,mm,5.2,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_19,,,dim_radius_R20_pcd_180_ref,,R20 ON PCD 180,R,None,mm,20,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_20,,,dim_crowning_length,,45,None,None,mm,45,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_21,,,dim_crowning_height,,0.02 +0.02 +0.005,None,+0.02 +0.005,mm,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_22,,,dim_detail_S_width,,0.5,None,None,mm,0.5,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_23,,,dim_detail_R_radius,,8 +1 -0,None,+1 -0,mm,8,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_24,,,dim_detail_R_angle,,30°,None,None,°,30,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_25,,,dim_enlarged_view_P_angle,,45°,None,None,°,45,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_26,,,dim_enlarged_view_P_chamfer_0_4x45,,0.4 X 45° BOTH FLANKS,None,None,mm,0.4,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,,,dim_face_width,,feat_rim,,,,dim_outer_dia,,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,,,dim_hub_dia_outer_step_1,,,feat_hub_left_outer_step_82,,,,,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,,,dim_hub_dia_outer_step_2,,,feat_hub_left_outer_step_78,dim_hub_extension_axial,,,,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,,,dim_hub_dia_spline_minor,,None,feat_bore_main,dim_face_width; dim_hub_extension_axial,,,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
