Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
9,"{'primary': {'value': '175', 'unit': 'mm', 'tolerance': 'unspecified'}, 'secondary': None}",Base circle diameter (Temel dairesi çapı),diameter,Gear Cutting Values Table,1,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
10,"{'primary': {'value': '2', 'unit': 'mm', 'tolerance': 'unspecified'}, 'secondary': None}",Shoulder length,length,Main Section View,1,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,"{'linear': 'Q20 (for undimensioned sizes)', 'angular': ""±15'"", 'standard_reference': 'unspecified (Q20 is not a standard ISO 2768 class)'}","[{'feature': 'Dimension P9', 'tolerance': '-0.0018', 'type': 'unilateral'}, {'feature': 'Dimension 16 (likely keyway width)', 'tolerance': '-0.006', 'type': 'unilateral'}, {'feature': 'Diameter 55 (H7 fit)', 'tolerance': '+0.030/-0.000', 'type': 'unilateral'}, {'feature': 'Diameter 216.5 (h9 fit)', 'tolerance': '0.000/-0.115', 'type': 'unilateral'}, {'feature': 'Overall Length 55', 'tolerance': '+0.15/-0', 'type': 'unilateral'}]",
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,['A'],Face perpendicular to Datum A,Left face of the gear,"RFS (implied, no modifier)",perpendicularity,0.033,diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,['A'],Diameter 216.5,Outer diameter of the gear,"RFS (implied, no modifier)",circular runout / concentricity,0.034,diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,[],Datum A,Center axis of ⌀55 H7 bore,,datum feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,⌀55 H7 bore surface,,symbol,∇∇,Machined surface (typically Ra 3.2 or better),,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,2,,Gear teeth surface,,symbol,∇∇∇,Fine machined surface (typically Ra 1.6 or better),,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,3,,2x45° chamfer and R fillet,,symbol,∇,Rough machined surface (typically Ra 6.3 or better),,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,Through the center of the part,"[{'feature': 'Overall Length', 'value': '55', 'unit': 'mm', 'tolerance': '+0.15/-0'}, {'feature': 'Gear Face Width', 'value': '53', 'unit': 'mm', 'tolerance': 'unspecified'}, {'feature': 'Shoulder Length', 'value': '2', 'unit': 'mm', 'tolerance': 'unspecified'}, {'feature': 'Bore Diameter', 'value': '55', 'unit': 'mm', 'tolerance': 'H7'}, {'feature': 'Hub Diameter', 'value': '85', 'unit': 'mm', 'tolerance': 'unspecified'}, {'feature': 'Shoulder Diameter', 'value': '194', 'unit': 'mm', 'tolerance': 'unspecified'}, {'feature': 'Outer Diameter', 'value': '216.5', 'unit': 'mm', 'tolerance': 'h9'}, {'feature': 'Chamfer', 'value': '2x45°', 'unit': 'mm/degrees', 'tolerance': 'unspecified'}, {'feature': 'Fillet', 'value': 'R3', 'unit': 'mm', 'tolerance': 'unspecified'}, {'feature': 'Fillet', 'value': 'R', 'unit': 'mm', 'tolerance': 'unspecified'}]",Main View (implied A-A),1:1,full section,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,2,Orthogonal to main view,"[{'feature': 'Keyway Width', 'value': '16', 'unit': 'mm', 'tolerance': 'unspecified (but -0.006 in table)'}, {'feature': 'Keyway Depth', 'value': '9', 'unit': 'mm', 'tolerance': 'unspecified'}, {'feature': 'Overall Diameter', 'value': '63.6', 'unit': 'mm', 'tolerance': '+0.2/-0'}]",Side View,1:1,orthographic projection,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All undimensioned features,Top right 'NOT' section,Tolerans konulmamış boyutlar için Q20,general tolerance,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,All angles,Top right 'NOT' section,açılar : ±15',general tolerance,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Case hardened layer,Top right 'NOT' section,Kabuk sertliği : 56±2 HRC,heat treatment/material property,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Case hardened layer,Top right 'NOT' section,Sert kabuk kalınlığı : 1 mm.,heat treatment/material property,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Material grain structure,Top right 'NOT' section,Tane büyüklüğü : 6-7,material property,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Core material,Top right 'NOT' section,Çekirdek sertliği : 25-35 HRC,heat treatment/material property,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['Sıra', 'Açıklamalar', 'İşaret', 'Değerler']","[{'Sıra': '1', 'Açıklamalar': 'Diş adedi', 'İşaret': 'z', 'Değerler': '42'}, {'Sıra': '2', 'Açıklamalar': 'Normal modül', 'İşaret': 'mno', 'Değerler': '5'}, {'Sıra': '3', 'Açıklamalar': 'Normal kavrama açısı', 'İşaret': 'αno', 'Değerler': '20°'}, {'Sıra': '4', 'Açıklamalar': 'Temel Profil', 'İşaret': 'hkw', 'Değerler': '6.25'}, {'Sıra': '5', 'Açıklamalar': 'Taksimat helis açısı', 'İşaret': 'βo', 'Değerler': '0°'}, {'Sıra': '6', 'Açıklamalar': 'Helis yönü', 'İşaret': None, 'Değerler': 'Düz'}, {'Sıra': '7', 'Açıklamalar': 'Taksimat dairesi çapı', 'İşaret': 'dg', 'Değerler': '210'}, {'Sıra': '8', 'Açıklamalar': 'Temel dairesi çapı', 'İşaret': None, 'Değerler': '175'}, {'Sıra': '9', 'Açıklamalar': 'Profil kaydırma', 'İşaret': 'Xmno', 'Değerler': '-175'}, {'Sıra': '10', 'Açıklamalar': 'Uç başı kısaltma', 'İşaret': 'Kmno', 'Değerler': '000'}, {'Sıra': '11', 'Açıklamalar': 'İşletme eksenler arası', 'İşaret': None, 'Değerler': '130.005'}]",DIŞ AÇMA DEĞERLERİ (Gear Cutting Values),gear_cutting_values,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,2,"['Sıra', 'Açıklamalar', 'İşaret', 'Değerler']","[{'Sıra': '12', 'Açıklamalar': 'Z diş üzerinde kesme mikromet ölç.taşlama', 'İşaret': 'W5', 'Değerler': '69.167'}, {'Sıra': '13', 'Açıklamalar': 'Dişli kumpas yüksekliği', 'İşaret': 'K. diş qn, k. diş kalınlığı sn', 'Değerler': None}, {'Sıra': '14', 'Açıklamalar': 'Dişli pim ölçüleri', 'İşaret': 'kontrol çapı d, Pimler M, üstü çapı', 'Değerler': None}, {'Sıra': '15', 'Açıklamalar': ""Toplam yuvarlanma h.Fi'"", 'İşaret': None, 'Değerler': None}, {'Sıra': '16', 'Açıklamalar': 'Bir dişte', 'İşaret': ""fi'"", 'Değerler': None}, {'Sıra': '17', 'Açıklamalar': 'Diş istikamet hatası', 'İşaret': 'fß', 'Değerler': None}, {'Sıra': '18', 'Açıklamalar': 'Diş yanak boşluğu', 'İşaret': 'B', 'Değerler': None}]",DİŞLİ KONTROL DEĞERLERİ (Gear Control Values),gear_control_values,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,3,"['Ölçü', 'Tolerans']","[{'Ölçü': 'P9', 'Tolerans': '-0.0018'}, {'Ölçü': '16', 'Tolerans': '-0.006'}, {'Ölçü': 'H7', 'Tolerans': '+0.030 / -0.000'}, {'Ölçü': '⌀55', 'Tolerans': '+0.030 / -0.000'}, {'Ölçü': 'h9', 'Tolerans': '0.000 / -0.115'}, {'Ölçü': '⌀216.5', 'Tolerans': '0.000 / -0.115'}]",,tolerance_table,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,4,"['SIRA', 'RESİM No.', 'PARÇA ADI', 'ADET', 'MALZEME', 'AÇIKLAMA']",[],DEĞİŞİKLİK (Change),revision_history,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,17CrNiMo6,,,"Case: 56±2 HRC, Core: 25-35 HRC",Case hardening (Kabuk sertliği),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['⌀55 H7 bore', '⌀216.5 h9 outer diameter', 'Overall length 55 (+0.15/-0)', 'Keyway width 16 (-0.006)', 'Perpendicularity ⌀0.033 A', 'Runout/Concentricity ⌀0.034 A']","['Gear tooth count: 42', 'Normal module: 5', 'Normal pressure angle: 20°', 'Pitch helix angle: 0° (Spur gear)', 'Operating center distance: 130.005']","['Measurement over 5 teeth with cutting micrometer (W5 69.167)', 'Gear caliper height (K. diş qn, k. diş kalınlığı sn)', 'Gear pin measurements (kontrol çapı d, Pimler M, üstü çapı)', ""Total runout (h.Fi')"", ""On one tooth (fi')"", 'Tooth direction error (fß)', 'Tooth flank clearance (B)']",Quality_Requirements,,,,,,,,,,,,,,,,,,,,,
