Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_raw_text,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_error,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,,None,DIN 9 (DIN 3962-63),,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z=12) DWG NO.,,None,759018,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,±0.112,mm,195.75,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,TYPE,,None,INVOLUTE,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,,None,22,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,mm,2.5,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,°,30,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,+0.158 +0.093,mm,50.552,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,mm,4.5,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE:-SPLINE PITCH CYLINDER RADIAL RUNOUT OF GEAR PITCH CYLINDER,,None,0.1,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES A & B,,None,0.1,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES C & D,,MAX.,0.5,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i""",,None,0.09,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i""""",,None,0.04,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,,None,0.028,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE PROFILE FORM DEVIATION f_f,,None,0.028,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO,,None,53-58 HRC,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T. TOOTH.,,None,None,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO,,None,170-210 BHN,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,,None,5-8 ASTM,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,outermost tip of gear teeth,⌀332 ±0.1,⌀,±0.1,mm,332.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,outer diameter of hub extension,⌀82,⌀,None,mm,82.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,axial width of gear teeth rim,45 +0 -1,None,+0 -1,mm,45.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,total axial length of gear assembly,54 ±0.2,None,±0.2,mm,54.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,main central bore,⌀58,⌀,None,mm,58.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_hub_step_dia_1,first step diameter on left hub,⌀78,⌀,None,mm,78.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_7,,,dim_hub_step_dia_2,second step diameter on left hub,⌀60 +0.3 -0,⌀,+0.3 -0,mm,60.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_8,,,dim_hub_step_dia_3,third step diameter on left hub,⌀55 -0 -0.19,⌀,-0 -0.19,mm,55.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_9,,,dim_hub_axial_step_1,axial length of first step on left hub,14 +2 -1,None,+2 -1,mm,14.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_10,,,dim_hub_axial_step_2,axial length of step on right hub,8 +1 -0,None,+1 -0,mm,8.0,view_detail_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_11,,,dim_chamfer_right_hub,chamfer on right hub end,1 X 45° MIN,None,MIN,mm,1.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_12,,,dim_chamfer_left_hub,chamfer on left hub end,2 X 45° BOTH SIDES,None,None,mm,2.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_13,,,dim_radius_hub_transition,radius at hub-rim transition,R20,R,None,mm,20.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_14,,,dim_crowning_height,crowning height,0.02 +0.02 +0.005,None,+0.02 +0.005,mm,0.02,view_crowning_detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_15,,,dim_crowning_width,crowning width,45,None,None,mm,45.0,view_crowning_detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_16,,,dim_enlarged_chamfer_p,chamfer on tooth flank,0.4 X 45° BOTH FLANKS,None,None,mm,0.4,view_enlarged_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_dia; dim_hub_step_dia_1; dim_hub_step_dia_2; dim_hub_step_dia_3,,,feat_hub,dim_hub_height; dim_hub_axial_step_1; dim_hub_axial_step_2,,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,dim_hub_height,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,,,,feat_spline,,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,features_Item_5,,,,,,,,,,,,,,feat_web_holes_1,,,⌀5.2-HOLES TO BE IN BETWEEN 2-SPLINES ON 66 P.C.D. WITHIN 0.1R OF TRUE POSITION.,mounting_holes,,hole_pattern,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,features_Item_6,,,,,,,,,,,,,,feat_web_holes_2,,,⌀30-4 HOLES EQUISPACED ON 180 PCD,mounting_holes,,hole_pattern,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_5,feat_web_holes_1,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_6,feat_web_holes_2,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,,Could not read image dimensions,500,4731,5231,4020,gemini_api_with_estimation_fallback,9251,mm,,,
