Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),,,None,0.011,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),,,None,0.013,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),,,None,0.011,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),,,None,0.009,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),,,None,0.014,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_1,,,dim_outer_dia,leader from ⌀136.2 to gear tip diameter,⌀136.2-0.1,,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_2,,,dim_hub_dia,leader from ⌀90 to larger hub diameter,⌀90,,⌀,None,mm,90,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_3,,,dim_face_width,leader from 15.2 to axial width of gear teeth,15.2±0.1,,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_4,,,dim_hub_height,leader from 24.7 to axial length of spline section,24.7-0.1,,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_5,,,dim_bore,,None,missing_on_drawing,⌀,H7,mm,None,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_6,,,dim_spline_entry_dia,leader from ⌀46 to spline entry diameter,⌀46 (ENTRY DIA),,⌀,None,mm,46,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_7,,,dim_spline_pcd,leader from PCD 42 to spline pitch circle diameter,PCD 42,,PCD,None,mm,42,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_8,,,dim_root_dia,leader from ⌀120.417 to gear root diameter,⌀120.417-0.3,,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_9,,,dim_pitch_circle_dia_gear,leader from PCD 125.016 to gear pitch circle diameter,PCD 125.016,,PCD,None,mm,125.016,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_10,,,dim_hub_step_dia,leader from ⌀58 to smaller hub step diameter,⌀58,,⌀,None,mm,58,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_11,,,dim_chamfer_1x45,leader from 1 x 45° to chamfer,1 x 45°,,None,None,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_12,,,dim_radius_R5,leader from R5 to radius,R5,,R,None,mm,5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,dimensions_Item_13,,,dim_groove_0_8x0_3,leader from 0.8X0.3 to groove,"0.8X0.3 DEEP, GROOVE",,None,None,mm,0.8,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,features_Item_1,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,features_Item_2,,,,,,,,,,,,dim_hub_dia,,,feat_hub,,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,features_Item_3,,,,,,,,,,,,dim_hub_step_dia,,,feat_hub_step,dim_hub_height,,hub_inner,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,features_Item_4,,,,,,,,,,,,dim_spline_entry_dia,,None,feat_bore_main,dim_hub_height,,spline_entry_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,features_Item_5,,,,,,,,,,,,,,,feat_spline,dim_hub_height,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,assembly_order_Item_3,feat_hub_step,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,assembly_order_Item_4,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,assembly_order_Item_5,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,General,,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5;,GEAR Z-33 (4TH DRIVER),1:1,,,,,,,,PNG,6615,61883325,9355,774,1949,2723,3329,gemini_api_with_estimation_fallback,6052,mm,,,
