Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_10,,,dim_spline_major_dia,,⌀60 +0.3 -0,⌀,+0.3 -0,mm,60.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_11,,,dim_inner_hub_length,,14 +2 -1,None,+2 -1,mm,14.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_12,,,dim_chamfer_2x45_both_sides,,2 x 45° BOTH SIDES,None,None,mm,2.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_13,,,dim_chamfer_1x45_min,,1 x 45° MIN,None,None,mm,1.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_14,,,dim_radius_r20,,R20,R,None,mm,20.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_15,,,dim_angle_30deg,,30°,None,None,°,30.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_16,,,dim_detail_r_length,,8 +1 -0,None,+1 -0,mm,8.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_17,,,dim_detail_s_length,,0.5,None,None,mm,0.5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_18,,,dim_crowning_height,,0.02 +0.02 +0.005,None,+0.02 +0.005,mm,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_19,,,dim_crowning_length,,45,None,None,mm,45.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_20,,,dim_flank_chamfer,,0.4 X 45° BOTH FLANKS,None,None,mm,0.4,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_outer_dia,,,feat_hub_outer,dim_hub_extension_length,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_hub_inner_dia,,,feat_hub_inner,dim_inner_hub_length,,hub_inner,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,features_Item_5,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub_outer,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_hub_inner,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_5,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,PNG,6615,61883325,9355,774,1944,2718,4128,gemini_api_with_estimation_fallback,6846,mm,,,
