Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,General surfaces,Rough Cut,unspecified,unspecified,Rough Cut (single triangle),,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,2,,General surfaces,Clean Cut,unspecified,unspecified,Clean Cut (double triangle),,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,3,,General surfaces,Turn,unspecified,unspecified,Turn (double triangle),,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,4,,General surfaces,Mill/Grind,unspecified,unspecified,Mill/Grind (triple triangle),,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,5,,General surfaces,Lapp/Grind,unspecified,unspecified,Lapp/Grind (quadruple triangle),,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,"Through the center of the sprocket, along its axis","[{'feature': 'Overall length', 'value': '50', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}, {'feature': 'Outer diameter', 'value': '137', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}, {'feature': 'Stepped diameter', 'value': '108', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}, {'feature': 'Stepped diameter', 'value': '83', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}, {'feature': 'Stepped diameter', 'value': '60', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}, {'feature': 'Flange width', 'value': '7.5', 'unit': 'mm', 'tolerance': '±0.1'}, {'feature': 'Inner flange width', 'value': '16', 'unit': 'mm', 'tolerance': '+0.1/-0.2'}, {'feature': 'Typical feature width', 'value': '5', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}]",unlabeled_section_view,1:2 (main drawing scale),full section,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,1,Sprocket and Insert,Bottom left,INSERT HAS TO BE PRESS FITTED IN TO SPROCKET,assembly_instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,2,All drilled and tapped holes,Bottom left,ALL DRILLED & TAPED HOLES CENTER,general_requirement,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,3,Distances,Bottom left,DISTANCES TO BE MAINTENED WITHIN ±0.2,general_tolerance,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,4,Unspecified chamfers,Bottom left,UNSPCIFIED CHAMFER 0.5*45°,feature_specification,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,5,All edges,Bottom left,REMOVE ALL SHARP EDGES,finishing_instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,6,Drawing format,Title block,A4-THIS IS A CAD DRAWING,drawing_standard,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,7,Drawing revision process,Title block,DO NOT REVISE MANUALLY. DO NOT TAKE REPRODUCIBLE,drawing_control,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['S.NO', 'DESCRIPTION', 'MATL.']","[{'S.NO': '1', 'DESCRIPTION': 'SPROCKET', 'MATL.': 'P.P./DERLINE'}, {'S.NO': '2', 'DESCRIPTION': 'INSERT', 'MATL.': 'M.S.'}]",unlabeled_BOM,bill_of_materials,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,2,[],"[{'parameter': 'NO OF TEETH', 'value': '10'}, {'parameter': 'P.C.D.', 'value': '⌀123.3'}, {'parameter': 'O.D.', 'value': '⌀137'}]",SPROKET DATA,sprocket_data,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,3,[],"[{'description': 'Qty. For One Assembly', 'value': ""2 No's.""}, {'description': 'Total No of Assemblys', 'value': ""2 No's""}, {'description': 'Total Qty.', 'value': ""4 No's""}]",Quantity Information,quantity_information,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,4,"['0.5 TO 6', '3 TO 30', '30 TO 120', '120 TO 400', '400 TO 1000', '1000 TO 2000', '2000 TO 4000']","[{'0.5 TO 6': '±0.1', '3 TO 30': '±0.2', '30 TO 120': '±0.3', '120 TO 400': '±0.5', '400 TO 1000': '±0.8', '1000 TO 2000': '±1.2', '2000 TO 4000': '±2'}]",PERMISSIBLE DEVIATIONS FOR LINEAR DIMENSIONS,permissible_deviations_for_linear_dimensions,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,"P.P./DERLINE (for Sprocket), M.S. (for Insert)",unspecified,"General surface roughness symbols provided (Rough Cut, Clean Cut, Turn, Mill/Grind, Lapp/Grind)",unspecified,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['⌀35H7 (bore diameter)', '8Js9 (keyway width)', '38.3+0.2 (keyway depth)']",['INSERT HAS TO BE PRESS FITTED IN TO SPROCKET'],['ALL DRILLED & TAPED HOLES CENTER'],Quality_Requirements,,,,,,,,,,,,,,,,,,,,
