Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_source,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,None,30°,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,"+0.217
+0.117",mm,37.603,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,mm,3.5,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,"+0.62
+0.25",mm,45.0,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,"+0.16
0.0",mm,41.0,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE:- SPLINE PITCH CYLINDER,,None,None,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,,None,0.070,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,,None,0.032,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",,None,0.036,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",,None,0.016,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβr),,None,0.007,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),,None,0.011,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),,None,0.013,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (f f),,None,0.011,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),,None,0.009,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Ff),,None,0.014,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_1,,,dim_outer_dia,leader_outer_dia,⌀136.2-0.1,,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_2,,,dim_hub_dia_main,leader_hub_dia_main,⌀90,,⌀,None,mm,90.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_3,,,dim_face_width,leader_face_width,15.2±0.1,,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_4,,,dim_hub_overall_length,leader_hub_overall_length,24.7-0.1,,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_5,,,dim_bore,,None,missing_on_drawing,⌀,H7,mm,None,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_6,,,dim_hub_dia_step,leader_hub_dia_step,⌀58 (BOTH SIDE),,⌀,None,mm,58.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_7,,,dim_root_dia,leader_root_dia,⌀120.417-0.3,,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_8,,,dim_gear_pcd,leader_gear_pcd,PCD 125.016,,None,None,mm,125.016,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_9,,,dim_spline_entry_dia,leader_spline_entry_dia,⌀46 (ENTRY DIA),,⌀,None,mm,46.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_10,,,dim_spline_pcd,leader_spline_pcd,PCD 42,,None,None,mm,42.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_11,,,dim_chamfer_1x45deg,leader_chamfer_1x45deg,"1 x 45°
(BOTH SIDE)",,None,None,mm,1.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_12,,,dim_radius_r5,leader_radius_r5,"R5
(BOTH SIDE)",,R,None,mm,5.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_13,,,dim_groove_width,leader_groove_0_8x0_3,"0.8X0.3 DEEP, GROOVE ⌀",,None,None,mm,0.8,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_14,,,dim_groove_depth,leader_groove_0_8x0_3,"0.8X0.3 DEEP, GROOVE ⌀",,None,None,mm,0.3,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_15,,,dim_axial_offset_2_5,leader_axial_offset_2_5,2.5,,None,None,mm,2.5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_16,,,dim_axial_offset_4,leader_axial_offset_4,4,,None,None,mm,4.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_17,,,dim_gear_tooth_edge_chamfer,,0.3-1.0,,None,0.3-1.0,mm,0.3,view_gear_tooth_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_18,,,dim_gear_tip_chamfer_axial,,0.35±0.1,,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_19,,,dim_gear_tip_chamfer_radial,,0.35±0.1,,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,dimensions_Item_20,,,dim_lead_crowning_range,,0.005-0.015,,None,0.005-0.015,mm,0.005,view_lead_crowning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,features_Item_1,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,features_Item_2,,,,,,,,,,,,dim_hub_dia_main,,,feat_hub_main,dim_hub_overall_length,,hub_outer,,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,features_Item_3,,,,,,,,,,,,dim_hub_dia_step,,,feat_hub_inner_step,dim_axial_offset_4,,hub_inner_step,,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,features_Item_4,,,,,,,,,,,,,,None,feat_bore_main,,,through_bore,missing_on_drawing,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,features_Item_5,,,,,,,,,,,,dim_spline_entry_dia; dim_spline_pcd,,,feat_spline,,,spline_bore,,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,assembly_order_Item_2,feat_hub_main,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,assembly_order_Item_3,feat_hub_inner_step,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,General,,,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5,GEAR Z-33 (4TH DRIVER),1:1,,,,,,,PNG,6615,61883325,9355,774,2011,2785,4132,gemini_api_with_estimation_fallback,6917,mm,,,
