Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,4.5,,None,4.5,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE:-SPLINE PITCH CYLINDER RUNOUT OF GEAR PITCH CYLINDER,0.100,,None,0.1,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES A & B,0.100,,None,0.1,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES C & D,0.5 MAX.,,None,0.5,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i""",0.090,,None,0.09,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i""""",0.040,,None,0.04,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,0.028,,None,0.028,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION f_f,0.028,,None,0.028,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO,53-58 HRC.,,None,53-58 HRC,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED,W.R.T TOOTH.,,None,W.R.T TOOTH,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO,170-210 BHN.,,None,170-210 BHN,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,5-8 ASTM.,,None,5-8 ASTM,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,,⌀332 ±0.1,⌀,±0.1,mm,332.0,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,,⌀82,⌀,None,mm,82.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,,45 +0/-1,None,+0/-1,mm,45.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,,54 ±0.2,None,±0.2,mm,54.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,,⌀55 -0/+0.19,⌀,-0/+0.19,mm,55.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_spline_major_dia,,⌀60 +0.3/-0,⌀,+0.3/-0,mm,60.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,dim_hub_height,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,dim_spline_major_dia; dim_bore,,,feat_spline,dim_hub_height,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,,,PNG,6615,61883325,9355,774,3793,4567,2922,gemini_api_with_estimation_fallback,7489,mm,,,
