Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_angle_dim_ids,features_axial_dim_ids,features_depth_dim_ids,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_radial_dim_ids,features_radius_dim_ids,features_raw_text,features_role,features_source,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,,None,LEFT,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,,None,0.593,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,,None,5,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,"-0.074
-0.118",mm,49.942,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),,None,DIN X 7,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),,None,P50001751D,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,± 0.05,mm,103.0,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,,mm,125.016,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,,mm,116.315,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),"-0.169
-0.209",mm,138.339,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,mm,6.5,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP,,mm,122.842,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAP,,mm,135.2,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),,mm,122.381,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,,mm,125.889,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,,None,DIN 5480,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIT,,None,SIDE FIT,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,,None,21,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,None,2.0,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,°,30,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,"+0.217
+0.117",mm,37.603,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,mm,3.5,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,"+0.62
+0.25",mm,45.0,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,"+0.16
0.0",mm,41.0,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE:- SPLINE PITCH CYLINDER,,None,None,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,,None,0.07,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,,None,X 0.032 (a),,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",,None,X 0.036 (a),,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",,None,X 0.016 (a),,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβr),,None,X 0.007 (a),,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),,None,X 0.011 (a),,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),,None,X 0.013 (a),,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),,None,X 0.011 (a),,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),,None,X 0.009 (a),,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),,None,X 0.014 (a),,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE CARBURIZED TO A DEPTH OF,,mm,0.9-1.2,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARDEN TO,,HRC,58-62,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORE HARDNESS,,HRC,32-42,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHOT BLAST TO DESCALE SHOT SIZE,,MM,≤ 1,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_surface_treatment,None,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL SHARP CORNERS INCLUDING GEAR TEETH & SPLINE EDGES TO BE FREE FROM BURRS.,,None,None,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_general_notes,None,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. NORMALIZED TO,,BHN,155-185,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. GRAIN SIZE,,ASTM,5 TO 8,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. MICROSTRUCTURE ON REPRESENTATIVE SAMPLE MUST SHOW UNIFORM GRAINED LAMELLAR PEARLITE & FERRITE FREE FROM WIDMANSTATTEN INTERMEDIATE & BANDED STRUCTURE.,,None,None,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. FORGING TO HAVE BAINITE UP TO,,%,5,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_details,None,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. NEGATIVE CROWNING IS NOT ALLOWED ON GEAR TEETH PROFILE.,,None,None,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. QUALITY REQUIREMENT AND ACCEPTABILITY NORMS TO CONFIRM SWARAJ ENGINEERING STANDARD SES-1007.,,None,None,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. EAP MAY BE CONSIDERED AS,,None,135,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOR INSPECTION PURPOSE ONLY,,None,None,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_notes,None,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_1,,,dim_outer_dia,outermost_gear_tip_left; outermost_gear_tip_right,⌀ 136.2 -0.1,,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_2,,,dim_hub_dia,hub_outer_surface_left; hub_outer_surface_right,⌀ 90 (BOTH SIDE),,⌀,None,mm,90.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_3,,,dim_face_width,gear_face_left; gear_face_right,15.2 ±0.1,,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_4,,,dim_hub_height,gear_face_right; hub_end_face_right,24.7 -0.1,,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_5,,,dim_bore,,None,missing_on_drawing,⌀,None,mm,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_6,,,dim_pitch_circle_dia_gear,gear_pitch_circle_left; gear_pitch_circle_right,PCD 125.016,,PCD,None,mm,125.016,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_7,,,dim_root_dia_gear,gear_root_circle_left; gear_root_circle_right,⌀ 120.417 -0.3,,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_8,,,dim_hub_step_dia,hub_inner_step_surface_left; hub_inner_step_surface_right,⌀ 58 (BOTH SIDE),,⌀,None,mm,58.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_9,,,dim_bore_entry_dia,bore_entry_chamfer_left; bore_entry_chamfer_right,⌀ 46 (ENTRY DIA) (BOTH SIDE),,⌀,None,mm,46.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_10,,,dim_chamfer_1x45_length,chamfer_1x45_left,1 x 45° (BOTH SIDE),,None,None,mm,1.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_11,,,dim_chamfer_1x45_angle,chamfer_1x45_left,1 x 45° (BOTH SIDE),,None,None,°,45.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_12,,,dim_radius_r5,radius_r5_left,R5 (BOTH SIDE),,R,None,mm,5.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_13,,,dim_groove_dia,identification_groove_diameter,"⌀ 8.0 X 0.3 DEEP, GROOVE (a) FOR IDENTIFICATION ONLY",,⌀,None,mm,8.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_14,,,dim_groove_depth,identification_groove_depth,"⌀ 8.0 X 0.3 DEEP, GROOVE (a) FOR IDENTIFICATION ONLY",,None,None,mm,0.3,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_15,,,dim_gear_tooth_edge_chamfer_min,,0.3-1.0 TYP. BOTH SIDES,,None,None,mm,0.3,view_gear_tooth_edge_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_16,,,dim_gear_tooth_edge_chamfer_max,,0.3-1.0 TYP. BOTH SIDES,,None,None,mm,1.0,view_gear_tooth_edge_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_17,,,dim_gear_tip_chamfer_axial,,0.35 ±0.1,,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,dimensions_Item_18,,,dim_gear_tip_chamfer_radial,,0.35 ±0.1,,None,±0.1,mm,0.35,view_gear_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_1,,,,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,,,,gear_tip,,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_2,,,,,,,,,,,,,,,dim_hub_dia,,,feat_hub_outer,dim_hub_height,,,,⌀ 90 (BOTH SIDE) / 24.7 -0.1,hub_outer,,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_3,,,,,,,,,,,,,,,dim_hub_step_dia,,,feat_hub_inner_step,,,,,⌀ 58 (BOTH SIDE),hub_inner_step,,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_4,,,,,,,,,,,,,,,,,None,feat_bore_main,,,,,,through_bore,missing_on_drawing,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_5,,,,,,,,,,,,,,,,,,feat_spline,,,,,,spline_bore,,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_6,,,,,,,,,,,,,,,dim_pitch_circle_dia_gear,,,feat_gear_pitch_circle,,,,,,gear_pitch,,,pitch_circle,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_7,,,,,,,,,,,,,,,dim_root_dia_gear,,,feat_gear_root_circle,,,,,,gear_root,,,root_circle,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_8,,,,,,,,,,,,,,,dim_bore_entry_dia,,,feat_bore_entry_chamfer,,,,,⌀ 46 (ENTRY DIA) (BOTH SIDE),bore_entry,,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_9,,,,,,,,,,,,dim_chamfer_1x45_angle,,,,,,feat_chamfer_1x45,dim_chamfer_1x45_length,,,,1 x 45° (BOTH SIDE),external_chamfer,,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_10,,,,,,,,,,,,,,,,,,feat_radius_r5,,,,dim_radius_r5,R5 (BOTH SIDE),external_radius,,,radius,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_11,,,,,,,,,,,,,,dim_groove_depth,dim_groove_dia,,,feat_identification_groove,,,,,"⌀ 8.0 X 0.3 DEEP, GROOVE (a) FOR IDENTIFICATION ONLY",identification_groove,,,groove,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_12,,,,,,,,,,,,,,,,,,feat_gear_tooth_edge_chamfer,dim_gear_tooth_edge_chamfer_min; dim_gear_tooth_edge_chamfer_max,,,,0.3-1.0 TYP. BOTH SIDES,gear_tooth_edge,,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,features_Item_13,,,,,,,,,,,,,dim_gear_tip_chamfer_axial,,,,,feat_gear_tip_chamfer,,,dim_gear_tip_chamfer_radial,,0.35 ±0.1,gear_tip,,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,assembly_order_Item_2,feat_hub_outer,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,assembly_order_Item_3,feat_hub_inner_step,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,assembly_order_Item_5,feat_bore_entry_chamfer,add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
