Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_symbol,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),,,None,DIN X 7,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),,,None,P50001751D,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,,± 0.05,None,103.0,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,,,None,125.016,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,,,None,116.315,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),,-0.169 / -0.269,None,138.339,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,None,6.5,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,SAP,,,None,122.842,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,EAP,,,None,135.2,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),,,None,122.381,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,,,None,125.889,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,,,None,DIN 5480,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,FIT,,,None,SIDE FIT,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,,,None,21,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,None,2.0,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,30,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,+0.217 / +0.117,None,37.603,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,None,3.5,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,,+0.62 / +0.25,None,45.0,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,,+0.16 / 0.0,None,41.0,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE,,,None,SPLINE PITCH CYLINDER,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,,,None,0.07,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,X,,None,0.032,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",X,,None,0.036,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",X,,None,0.016,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβr),X,,None,0.007,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),X,,None,0.011,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),X,,None,0.013,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),X,,None,0.011,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),X,,None,0.009,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),X,,None,0.014,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,CASE CARBURIZED TO A DEPTH OF,,,None,0.9-1.2,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,HARDEN TO,,,HRC,58-62,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,CORE HARDNESS,,,HRC,32-42,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,SHOT BLAST TO DESCALE SHOT SIZE,,,MM,≤ 1,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_surface_treatment,None,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,NORMALIZED TO,,,BHN,155-185,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,,,ASTM,5 TO 8,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,MICROSTRUCTURE,,,None,UNIFORM GRAINED LAMELLAR PEARLITE & FERRITE FREE FROM WIDMANSTATTEN INTERMEDIATE & BANDED STRUCTURE,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,BAINITE UP TO,,,%,5,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_details,None,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,ALL SHARP CORNERS INCLUDING GEAR TEETH & SPLINE EDGES TO BE,,,None,FREE FROM BURRS,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,"QUALITY TOL. ZONE MODIFIED, PERMISSIBLE DEVIATIONS UPDATED, IDENTIFICATION GROOVE & DIM ADDED & PART NO.",,,None,CHANGED,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_general_notes,None,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,dimensions_Item_1,,,dim_outer_dia,tip of gear tooth on one side; tip of gear tooth on opposite side,⌀136.2 -0.1,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,dimensions_Item_2,,,dim_hub_dia,outer diameter of the larger hub section,⌀90,⌀,None,mm,90,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,dimensions_Item_3,,,dim_face_width,axial width of the gear teeth section,15.2 ±0.1,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,dimensions_Item_4,,,dim_hub_height,total axial length of the gear assembly,24.7 -0.1,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,dimensions_Item_5,,,dim_bore,entry diameter of the central bore,⌀46 (ENTRY DIA),⌀,None,mm,46,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,features_Item_4,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,General,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5; IS:9175,GEAR Z-33 (4TH DRIVER),1:1,,,,,,,,PNG,6615,61883325,9355,774,3785,4559,3577,gemini_api_with_estimation_fallback,8136,mm,,,
