Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_size,Meta_standards_referenced,Meta_weight,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
12,"{'primary': {'value': '0.13', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Thickness of a step,step,Section A-A,1,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
13,"{'primary': {'value': '0.53', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Distance from face to second step,step,Section A-A,1,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
14,"{'primary': {'value': '0.40', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Six equally spaced holes,hole,"Front view, arranged circularly around center",6,"Diameter. Note: A downward-pointing triangle symbol (▽) is present next to ⌀0.40, its meaning in this context is unclear.",f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
15,"{'primary': {'value': '0.88', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Horizontal distance from center to hole center (for the six holes),hole location,"Front view, from centerlines",1,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
16,"{'primary': {'value': '0.31', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Vertical distance from center to hole center (for the six holes),hole location,"Front view, from centerlines",1,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
17,"{'primary': {'value': '59', 'unit': 'degrees', 'tolerance': None}, 'secondary': None}",Angular spacing between two adjacent hole centers (for the six holes),hole location,Front view,1,Angular dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
18,"{'primary': {'value': '0.1', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Width of star point feature,slot/cutout,"Front view, central star",,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
19,"{'primary': {'value': '0.05', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Depth of star point feature,slot/cutout,"Front view, central star",,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
20,"{'primary': {'value': '0.06', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Radius of star point fillet,fillet,"Front view, central star",,Radius,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
21,"{'primary': {'value': '0.5', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Inner circle diameter of star points,circular feature,"Front view, central star",1,Diameter,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
22,"{'primary': {'value': '1.3', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Outer circle diameter of star points,circular feature,"Front view, central star",1,Diameter,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
23,"{'primary': {'value': '0.42', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Distance from center to edge of star point,linear dimension,"Front view, central star",1,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
24,"{'primary': {'value': '1.18', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Inner ring diameter,circular feature,Front view,1,Diameter,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
25,"{'primary': {'value': '0.28', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Distance from outer edge to gear tooth root (left side),linear dimension,Front view,1,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
26,"{'primary': {'value': '0.27', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Distance from outer edge to gear tooth root (right side),linear dimension,Front view,1,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
,,,,,,,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,"{'linear': None, 'angular': None, 'standard_reference': None}",[]
,,,,,,,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,"Indicated by A-A line in Front View, passing through the center.","[{'feature': 'Overall Diameter', 'value': '3.1', 'unit': 'inches', 'tolerance': None}, {'feature': 'Overall Thickness', 'value': '0.875', 'unit': 'inches', 'tolerance': None}, {'feature': 'Outer rim thickness', 'value': '0.18', 'unit': 'inches', 'tolerance': None}, {'feature': 'Inner rim thickness', 'value': '0.13', 'unit': 'inches', 'tolerance': None}, {'feature': 'Combined outer and inner rim thickness', 'value': '0.50', 'unit': 'inches', 'tolerance': None}, {'feature': 'Hub flange thickness', 'value': '0.38', 'unit': 'inches', 'tolerance': None}, {'feature': 'Hub diameter', 'value': '0.95', 'unit': 'inches', 'tolerance': None}, {'feature': 'Main body diameter', 'value': '2.89', 'unit': 'inches', 'tolerance': None}, {'feature': 'Small diameter feature', 'value': '0.125', 'unit': 'inches', 'tolerance': None}, {'feature': 'Main body central thickness', 'value': '0.16', 'unit': 'inches', 'tolerance': None}, {'feature': 'Distance from face to first step', 'value': '0.46', 'unit': 'inches', 'tolerance': None}, {'feature': 'Thickness of a step', 'value': '0.13', 'unit': 'inches', 'tolerance': None}, {'feature': 'Distance from face to second step', 'value': '0.53', 'unit': 'inches', 'tolerance': None}, {'feature': 'Central bore diameter', 'value': '0.49', 'unit': 'inches', 'tolerance': None}]",SECTION A-A,1 : 1,full section,,,,,,,
,,,,,,,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,1,"['Column 1', 'Column 2']","[{'Column 1': 'No. of Teeth', 'Column 2': '60'}, {'Column 1': 'Pitch Dia.', 'Column 2': '3""'}, {'Column 1': 'Hub Dia.', 'Column 2': '2"" (Note: This value contradicts the ⌀0.95 dimension shown on the drawing.)'}, {'Column 1': 'OD', 'Column 2': '3.10""'}, {'Column 1': ""O'all"", 'Column 2': '7/8""'}, {'Column 1': 'Bore min.', 'Column 2': '3/8"" (Note: This value is a range, while ⌀0.49 is explicitly dimensioned.)'}, {'Column 1': 'Bore max', 'Column 2': '1 1/4"" (Note: This value is a range, while ⌀0.49 is explicitly dimensioned.)'}]",TABLE,Gear Specification Table,,
,,,,,,,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,2,"['ZONE', 'REV', 'DESCRIPTION', 'DATE', 'APPROVED']","[{'ZONE': '1', 'REV': 'A', 'DESCRIPTION': 'RELEASE FOR PRODUCTION', 'DATE': '01/24/12', 'APPROVED': 'Instructor'}]",REVISION HISTORY,Revision History,,
,,,,,,,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,
,,,,,,,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],Quality_Requirements,,,,,,,,,,,,,
