Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
9,"{'primary': {'value': '10', 'unit': ""No's"", 'tolerance': 'N/A'}}",Number of teeth,sprocket tooth,Sprocket Data,1,tooth count,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
10,"{'primary': {'value': '123.3', 'unit': 'mm', 'tolerance': '±0.3 (based on general tolerance for 30-120mm)'}}",Pitch Circle Diameter (P.C.D.),sprocket tooth,Sprocket Data / Front View,1,P.C.D.,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
11,"{'primary': {'value': '137', 'unit': 'mm', 'tolerance': '±0.3 (based on general tolerance for 30-120mm)'}}",Outer Diameter (O.D.),sprocket tooth,Sprocket Data / Front View,1,O.D.,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
12,"{'primary': {'value': '141.62', 'unit': 'mm', 'tolerance': '±0.3 (based on general tolerance for 120-400mm)'}}",Outer radius of tooth profile,sprocket tooth,Front View,1,radius,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
13,"{'primary': {'value': '8.21', 'unit': 'mm', 'tolerance': '±0.2 (based on general tolerance for 6-30mm)'}}",Tooth width at tip,sprocket tooth,Front View,1,width,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
14,"{'primary': {'value': '38.1', 'unit': 'mm', 'tolerance': '±0.3 (based on general tolerance for 30-120mm)'}}",Tooth pitch/span,sprocket tooth,Front View,1,pitch,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
15,"{'primary': {'value': '23', 'unit': 'mm', 'tolerance': '±0.2 (based on general tolerance for 6-30mm)'}}",Tooth root diameter,sprocket tooth,Front View,1,diameter,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
16,"{'primary': {'value': '18.97', 'unit': 'mm', 'tolerance': '±0.2 (based on general tolerance for 6-30mm)'}}",Tooth root radius,sprocket tooth,Front View,1,radius,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,"{'linear': {'0.5 TO 6': '±0.1 mm', '6 TO 30': '±0.2 mm', '30 TO 120': '±0.3 mm', '120 TO 400': '±0.5 mm', '400 TO 1000': '±0.8 mm', '1000 TO 2000': '±1.2 mm', '2000 TO 4000': '±2 mm'}, 'angular': 'not specified', 'standard_reference': 'ALL DIMENSIONS AER IN MM (implies ISO 2768-m or similar)'}","[{'feature': 'Outer flange width', 'tolerance': '±0.1', 'type': 'bilateral'}, {'feature': 'Central body width', 'tolerance': '+0.2', 'type': 'unilateral'}, {'feature': 'Main bore diameter', 'tolerance': 'H7', 'type': 'fit'}, {'feature': 'Keyway width', 'tolerance': 'Js9', 'type': 'fit'}, {'feature': 'Keyway depth from center', 'tolerance': '+0.2', 'type': 'unilateral'}, {'feature': 'Distances (general note)', 'tolerance': '±0.2', 'type': 'bilateral'}]"
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,General surfaces (Rough Cut),Rough Cut,symbol,Δ,Rough Cut,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,2,,General surfaces (Clean Mill/Turn),Clean Mill/Turn,symbol,∇∇,Clean Mill/Turn,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,3,,General surfaces (Grinding),Grinding,symbol,∇∇∇,Grinding,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,4,,General surfaces (Lapping),Lapping,symbol,∇∇∇∇,Lapping,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,through the center of the sprocket,"[{'feature': 'Overall Length', 'value': '50', 'unit': 'mm', 'tolerance': '±0.3'}, {'feature': 'Outer flange width', 'value': '7.5', 'unit': 'mm', 'tolerance': '±0.1'}, {'feature': 'Central body width', 'value': '16', 'unit': 'mm', 'tolerance': '+0.2'}, {'feature': 'Inner diameter', 'value': '60', 'unit': 'mm', 'tolerance': '±0.2'}, {'feature': 'Intermediate diameter', 'value': '83', 'unit': 'mm', 'tolerance': '±0.3'}, {'feature': 'Outer diameter', 'value': '108', 'unit': 'mm', 'tolerance': '±0.3'}, {'feature': 'Largest diameter', 'value': '137', 'unit': 'mm', 'tolerance': '±0.3'}]",unlabeled section view,1:2 (main drawing scale),full section,,,,,,,,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,1,Insert and Sprocket,bottom left,INSERT HAS TO BE PRESS FITTED IN TO SPROCKET,assembly instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,2,all drilled and tapped holes (none explicitly shown as tapped),bottom left,ALL DRILLED & TAPED HOLES CENTER,machining/quality requirement,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,3,all unspecified distances,bottom left,DISTANCES TO BE MAINTENED WITHIN ±0.2,general tolerance,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,4,all sharp edges not otherwise specified,bottom left,UNSPECIFIED CHAMFER 0.5*45°,design specification,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,5,all edges,bottom left,REMOVE ALL SHARP EDGES,finishing requirement,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['S.NO', 'DESCRIPTION', 'MATL.']","[{'S.NO': '1', 'DESCRIPTION': 'SPROCKET', 'MATL.': 'P.P./DERLINE'}, {'S.NO': '2', 'DESCRIPTION': 'INSERT', 'MATL.': 'M.S.'}]",,part list,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,2,"['Parameter', 'Value']","[{'Parameter': 'NO OF TEETH', 'Value': '10'}, {'Parameter': 'P.C.D.', 'Value': '⌀123.3'}, {'Parameter': 'O.D.', 'Value': '⌀137'}]",SPROKET DATA,sprocket data,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,3,"['0.5 TO 6', '6 TO 30', '30 TO 120', '120 TO 400', '400 TO 1000', '1000 TO 2000', '2000 TO 4000']","[{'0.5 TO 6': '±0.1', '6 TO 30': '±0.2', '30 TO 120': '±0.3', '120 TO 400': '±0.5', '400 TO 1000': '±0.8', '1000 TO 2000': '±1.2', '2000 TO 4000': '±2'}]",PERMISSIBLE DEVIATIONS FOR LINEAR DIMENSIONS,permissible deviations for linear dimensions,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,4,"['Description', 'Quantity']","[{'Description': 'Qty. For One Assembly', 'Quantity': ""2 No's.""}, {'Description': 'Total No of Assemblys', 'Quantity': ""2 No's""}, {'Description': 'Total Qty.', 'Quantity': ""4 No's""}]",,quantity information,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,5,"['Machining Type', 'Symbol']","[{'Machining Type': 'ROUGH CUT', 'Symbol': 'Δ'}, {'Machining Type': 'CLEAN MILL/TURN', 'Symbol': '∇∇'}, {'Machining Type': 'GRINDING', 'Symbol': '∇∇∇'}, {'Machining Type': 'LAPPING', 'Symbol': '∇∇∇∇'}]",,surface roughness symbols,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,"Sprocket: P.P./DERLINE, Insert: M.S.",not specified,"REMOVE ALL SHARP EDGES, UNSPECIFIED CHAMFER 0.5*45°",not specified,not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,
,,,,,,,0c874f63-f255-46af-8861-5dac52c08e72_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['⌀35H7 (bore fit)', '8Js9 (keyway fit)', '16⁺⁰·² (central width)', '38.3⁺⁰·² (keyway depth)', 'Distances to be maintained within ±0.2']",['INSERT HAS TO BE PRESS FITTED IN TO SPROCKET'],['ALL DRILLED & TAPED HOLES CENTER'],Quality_Requirements,,,,,,,,,,,,,,,,,,,,
