Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,0.028,,,mm,0.028,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE PROFILE FORM DEVIATION f_f,0.028,,,mm,0.028,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,TEETH TO BE INDUCTION HARDENED & TEMPERED TO,53-58 HRC,,,HRC,53-58,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T TOOTH,INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T TOOTH,,,None,None,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO,170-210 BHN,,,BHN,170-210,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,5-8 ASTM,,,ASTM,5-8,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,,⌀332 ±0.1,drawing_text,⌀,±0.1,mm,332.0,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,,⌀82,drawing_text,⌀,None,mm,82.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,,45 +0 -1,drawing_text,None,+0 / -1,mm,45.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,,54 ±0.2,drawing_text,None,±0.2,mm,54.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,,⌀28 H7,drawing_text,⌀,H7,mm,28.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,,dim_bore,,H7,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b983aca-e8b3-427a-a968-bc72ec778936_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,,,,PNG,6615,61883325,9355,774,3793,4567,2993,gemini_api_with_estimation_fallback,7560,mm,,,
