Filename,Record_Type,assembly_order_feature_id,assembly_order_op,assembly_order_side,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_depth_dim_ids,features_diameter_dim_ids,features_dimension_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_source,features_table_links,features_type,features_width_dim_ids,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_note,tables_cells_source,tables_cells_symbol,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,,,,,°,22.5,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,,,,,None,LEFT,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,,,,,None,0.593,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,,,,,None,5,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,,,,-0.074 / -0.118,None,49.942,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),,,,,None,DIN X 7,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),,,,,None,P50001751D,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,,,,±0.05,None,103.0,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,,,,,None,125.016,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,,,,,None,116.315,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),,,,-0.169 / -0.269,None,138.339,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,,,None,6.5,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP,,,,,None,122.842,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAP,,,,,None,135.2,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),,,,,None,122.381,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,,,,,None,125.889,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,,,,,None,DIN 5480,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIT,,,,,None,SIDE FIT,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,,,,,None,21,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,,,None,2.0,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,,,°,30,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,,,+0.217 / +0.117,None,37.603,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,,,None,3.5,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,,,,+0.62 / +0.25,None,45.0,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,,,,+0.16 / 0.0,None,41.0,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE,,,,,None,SPLINE PITCH CYLINDER,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,,,,,None,0.07,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,a,,X,,None,0.032,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",a,,X,,None,0.036,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",a,,X,,None,0.016,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβ),a,,X,,None,0.007,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),a,,X,,None,0.011,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (FB),a,,X,,None,0.013,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),a,,X,,None,0.011,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),a,,X,,None,0.009,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),a,,X,,None,0.014,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_1,,,,dim_outer_dia,outermost tip of gear teeth,⌀136.2-0.1,,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_2,,,,dim_hub_dia,outer cylindrical surface of larger hub extension,⌀90 (BOTH SIDE),,⌀,None,mm,90,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_3,,,,dim_face_width,axial length of the toothed rim section,15.2±0.1,,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_4,,,,dim_hub_height,,None,missing_on_drawing,None,None,mm,None,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_5,,,,dim_bore,internal cylindrical surface of the bore,⌀25H7,,⌀,H7,mm,25,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_6,,,,dim_pitch_circle_dia_gear,pitch circle of gear teeth,PCD 125.016,,⌀,None,mm,125.016,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_7,,,,dim_root_dia,root diameter of gear teeth,⌀120.417-0.3,,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_8,,,,dim_hub_dia_small,outer cylindrical surface of smaller hub extension,⌀58 (BOTH SIDE),,⌀,None,mm,58,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_9,,,,dim_spline_entry_dia,entry diameter of the internal spline,⌀46 (ENTRY DIA) (BOTH SIDE),,⌀,None,mm,46,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_10,,,,dim_hub_extension_large_axial,axial length of the larger hub step (⌀90) from face to shoulder,2.5,,None,None,mm,2.5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_11,,,,dim_hub_extension_small_axial,axial length of the smaller hub step (⌀58) from shoulder to end face,4,,None,None,mm,4,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_12,,,,dim_internal_axial_length,axial distance between inner faces of the larger hub steps (⌀90 shoulders),24.7-0.1,,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_13,,,,dim_groove_width,axial width of the groove on the ⌀90 hub surface,4.75±0.1,,None,±0.1,mm,4.75,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_14,,,,dim_groove_dia,diameter of the groove on the ⌀90 hub surface,"⌀80.8X0.3 DEEP, GROOVE",,⌀,None,mm,80.8,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_15,,,,dim_groove_depth,depth of the groove on the ⌀90 hub surface,"⌀80.8X0.3 DEEP, GROOVE",,None,None,mm,0.3,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_16,,,,dim_chamfer_1x45,chamfer on the outer face of the smaller hub (⌀58),1 x 45° (BOTH SIDE),,None,None,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_17,,,,dim_radius_R5,radius at the shoulder transition from ⌀90 hub to ⌀58 hub,R5 (BOTH SIDE),,R,None,mm,5,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_18,,,,dim_gear_tooth_edge_chamfer,chamfer on the edges of gear teeth,0.3-1.0,,None,None,mm,0.3-1.0,view_tooth_edge_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_19,,,,dim_gear_tip_chamfer,chamfer on the tip of gear teeth,0.35±0.1,,None,±0.1,mm,0.35,view_tip_chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,dimensions_Item_20,,,,dim_lead_crowning_axial,axial dimension of lead crowning,0.005-0.015,,None,None,mm,0.005-0.015,view_lead_crowning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_1,,,,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_2,,,,,,,,,,,,,,,,,,feat_hub,,,hub_outer,multiple_hub_features_present,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_3,,,,,,,,,,,,,,dim_bore,,,H7,feat_bore_main,,,through_bore,,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_4,,,,,,,,,,,,,,dim_spline_entry_dia,,,,feat_spline,,,spline_bore,,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_5,,,,,,,,,,,,,,dim_hub_dia,,,,feat_hub_large_step,dim_hub_extension_large_axial,,hub_outer,,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_6,,,,,,,,,,,,,,dim_hub_dia_small,,,,feat_hub_small_step,dim_hub_extension_small_axial,,hub_outer,,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_7,,,,,,,,,,,,,dim_groove_depth,dim_groove_dia,,,,feat_groove,,,axial_groove,,,cylindrical_groove,dim_groove_width,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_8,,,,,,,,,,,,,,,dim_chamfer_1x45,,,feat_chamfer_1x45,,,hub_chamfer,,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_9,,,,,,,,,,,,,,,dim_radius_R5,,,feat_radius_R5,,,hub_shoulder_radius,,,fillet_radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_10,,,,,,,,,,,,,,,dim_gear_tooth_edge_chamfer,,,feat_gear_tooth_edge_chamfer,,,gear_tooth_edge,,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_11,,,,,,,,,,,,,,,dim_gear_tip_chamfer,,,feat_gear_tip_chamfer,,,gear_tip,,,chamfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,features_Item_12,,,,,,,,,,,,,,,dim_lead_crowning_axial,,,feat_lead_crowning,,,gear_tooth_crowning,,,crowning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_2,feat_hub_large_step,revolve,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_3,feat_hub_small_step,revolve,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_4,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_5,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_6,feat_groove,subtract,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_7,feat_chamfer_1x45,chamfer,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_8,feat_radius_R5,fillet,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_9,feat_gear_tooth_edge_chamfer,chamfer,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_10,feat_gear_tip_chamfer,chamfer,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,assembly_order_Item_11,feat_lead_crowning,add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9a0c092-d858-4dfb-b6b8-e041a5f8cc54_image (6).png,General,,,,,,,,,,,,,,,,,,,,,,,,,,P50011489B,20MnCr5;,GEAR Z-33 (4TH DRIVER),1:1,,,,,,,,,,PNG,6615,61883325,9355,774,3052,3826,5661,gemini_api_with_estimation_fallback,9487,mm,,,
