Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE PROFILE FORM DEVIATION f_f,0.028,,,mm,0.028,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,TEETH HARDENING,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO 53-58 HRC.,,,None,INDUCTION HARDENED & TEMPERED TO 53-58 HRC,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,HARDENING PATTERN,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T. TOOTH.,,,None,CENTRALISED W.R.T. TOOTH,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,NORMALISATION,UNIFORMLY NORMALISE TO 170-210 BHN.,,,None,UNIFORMLY NORMALISE TO 170-210 BHN,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,GRAIN SIZE 5-8 ASTM.,,,None,5-8 ASTM,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,outermost tips of gear teeth,⌀332 ±0.1,⌀,±0.1,mm,332,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,largest diameter of the hub extension,⌀82,⌀,None,mm,82,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,axial dimension across gear teeth section,45 +0 -1,None,+0 -1,mm,45,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,total axial length of the gear assembly,54 ±0.2,None,±0.2,mm,54,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,innermost bore diameter,⌀55 -0 +0.19,⌀,-0 +0.19,mm,55,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_spline_major_dia,diameter of the spline major diameter / hub step,⌀60 +0.3 -0,⌀,+0.3 -0,mm,60,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,dim_hub_height,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,,,,PNG,6615,61883325,9355,774,3785,4559,3397,gemini_api_with_estimation_fallback,7956,mm,,,
