Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-12) DWG NO.,,,None,759018,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,,±0.112,mm,195.75,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,TYPE,,,None,INVOLUTE,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,,,None,22,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,mm,2.5,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,30,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,+0.158/+0.093,mm,50.552,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,mm,4.5,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,implied_from_text_and_table,,mm,60,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,implied_from_text_and_table,,mm,55,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF SPLINE PITCH CYLINDER,,,mm,0.1,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF GEAR PITCH CYLINDER,,,mm,0.1,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES A & B,,,mm,0.1,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES C & D,,MAX.,mm,0.5,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i""",,,mm,0.09,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i""",,,mm,0.04,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,,,mm,0.028,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE PROFILE FORM DEVIATION f_f,,,mm,0.028,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO,,,None,53-58 HRC.,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED,,,None,W.R.T. TOOTH.,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO,,,None,170-210 BHN.,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,,,None,5-8 ASTM.,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 1 - SECTION,,,None,B-B,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 1 - DESCRIPTION,,,None,MIDDLE OF TOOTH,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 1 - HARDNESS,,,None,RC,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 1 - CASE DEPTH,,,mm,X = 1.4 - 7.0 (ABOVE ROOT DIA),,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 1 - REF DIAGRAM,,,None,DIG-2,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 2 - SECTION,,,None,A-A & C-C,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 2 - DESCRIPTION,,,None,MIDDLE OF TOOTH,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 2 - HARDNESS,,,None,RC,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 2 - CASE DEPTH,,,mm,Y1 = 1.5 - 5.6 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 2 - REF DIAGRAM,,,None,DIG-3,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 3 - SECTION,,,None,B-B,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 3 - DESCRIPTION,,,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 3 - HARDNESS,,,None,RC/OHV,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 3 - CASE DEPTH,,,mm,Y = 0.8 - 6.6 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 3 - REF DIAGRAM,,,None,DIG-2,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 4 - SECTION,,,None,A-A & C-C,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 4 - DESCRIPTION,,,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 4 - HARDNESS,,,None,RC/OHV,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 4 - CASE DEPTH,,,mm,Y = 1.3 - 7.1 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_20,,,,,,,,,,,,,,,,,,,,,,,,,S.NO 4 - REF DIAGRAM,,,None,DIG-3,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_hardness_case_depth,None,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,outermost tip of gear tooth; opposite outermost tip of gear tooth,⌀332 ±0.1,,⌀,±0.1,mm,332,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,outer cylindrical surface of hub extension; opposite outer cylindrical surface of hub extension,⌀82,,⌀,None,mm,82,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,left face of main gear rim; right face of main gear rim,54 ±0.2,,None,±0.2,mm,54,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,outer face of hub extension; shoulder transition of hub extension,45 +0/-1,,None,+0/-1,mm,45,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,inner cylindrical surface of main bore; opposite inner cylindrical surface of main bore,⌀55 -0.19/-0,,⌀,-0.19/-0,mm,55,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_hub_dia_inner_step,outer cylindrical surface of inner hub step; opposite outer cylindrical surface of inner hub step,⌀78,,⌀,None,mm,78,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_7,,,dim_bore_step_dia,inner cylindrical surface of bore step; opposite inner cylindrical surface of bore step,⌀60 +0.3/-0,,⌀,+0.3/-0,mm,60,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_8,,,dim_bore_step_length,face of bore step; shoulder of bore step,2 (REF),,None,REF,mm,2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_9,,,dim_spline_major_dia,internal spline feature,60X55X22 SPLINES,implied_from_text_and_table,⌀,None,mm,60,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_10,,,dim_spline_minor_dia,internal spline feature,60X55X22 SPLINES,implied_from_text_and_table,⌀,None,mm,55,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_11,,,dim_spline_teeth_count,internal spline feature,60X55X22 SPLINES,implied_from_text_and_table,None,None,None,22,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_12,,,dim_pitch_circle_dia,pitch circle diameter,⌀319 P.C.D.,,⌀,None,mm,319,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_13,,,dim_root_dia,root diameter of gear teeth,⌀307.67,,⌀,None,mm,307.67,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_14,,,dim_inner_rim_dia,inner diameter of gear rim,⌀282,,⌀,None,mm,282,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,,dim_hub_dia_inner_step,,,feat_hub_inner_step,,,hub_inner_step,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_5,,,,,,,,,,,,dim_bore_step_dia,,None,feat_bore_step,dim_bore_step_length,,internal_bore_step,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,features_Item_6,,,,,,,,,,,,dim_spline_major_dia; dim_spline_minor_dia,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_hub_inner_step,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_5,feat_bore_step,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_6,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,,,PNG,6615,61883325,9355,774,3052,3826,4728,gemini_api_with_estimation_fallback,8554,mm,,,
